fac_no_faction|无 势 力 
fac_commoners|平 民 
fac_outlaws|土 匪 
fac_neutral|中 立 的 
fac_player_faction|玩 家 势 力 
fac_player_supporters_faction|支 持 玩 家 的 
fac_britain|联 合 王 国 
fac_france|法 兰 西 帝 国 
fac_prussia|普 鲁 士 王 国 
fac_russia|俄 罗 斯 帝 国 
fac_austria|奥 地 利 帝 国 
fac_rhine|莱 茵 邦 联 
fac_kingdom_7|无 效 势 力 
fac_kingdom_8|无 效 势 力 
fac_kingdom_9|无 效 势 力 
fac_kingdom_10|无 效 势 力 
fac_british_ranks|其 他 阶 级 的 英 国 人 
fac_french_ranks|其 他 阶 级 的 法 国 人 
fac_prussian_ranks|其 他 阶 级 的 普 鲁 士 人 
fac_russian_ranks|其 他 阶 级 的 俄 国 人 
fac_austrian_ranks|其 他 阶 级 的 奥 地 利 人 
fac_rhine_ranks|其 他 阶 级 的 莱 茵 人 
