str_no_string|NO STRING!
str_empty_string|
str_yes|是 
str_no|否 
str_blank_string|
str_s50_and_s51|{s50}和 {s51}
str_s52_and_s51|{s52}和 {s51}
str_msg_battle_won|战 斗 胜 利 ！ 按 TAB键 离 开 … … 
str_charge|填 装 
str_color|颜 色 
str_hold_fire|停 止 射 击 
str_blunt_hold_fire|钝 器 /停 止 射 击 
str_finished|（ 完 成 ） 
str_delivered_damage|施 加 了 {reg60}点 伤 害 。 
str_archery_target_hit|距 离 ： {reg61}米 。 分 数 ： {reg60}
str_cant_use_inventory_now|不 能 在 这 里 打 开 物 品 栏 。 
str_give_up_fight|放 弃 战 斗 ？ 
str_battle_won|你 赢 得 了 这 场 战 斗 ！ 
str_battle_lost|你 输 掉 了 这 场 战 斗 ！ 
str_kingdom_1_adjective|联 合 王 国 
str_kingdom_2_adjective|法 兰 西 帝 国 
str_kingdom_3_adjective|普 鲁 士 王 国 
str_kingdom_4_adjective|俄 罗 斯 帝 国 
str_kingdom_5_adjective|奥 地 利 帝 国 
str_kingdom_6_adjective|莱 茵 邦 联 
str_credits_15|未 使 用 
str_mp_ambush|伏 击 （ 白 天 ） 
str_mp_ambush_fog|伏 击 （ 雾 ） 
str_mp_arabian_harbour|阿 拉 伯 港 （ 白 天 ） 
str_mp_arabian_harbour_night|阿 拉 伯 港 （ 夜 晚 ） 
str_mp_arabian_village|阿 拉 伯 村 庄 （ 白 天 ） 
str_mp_arabian_village_morning|阿 拉 伯 村 庄 （ 早 晨 ） 
str_mp_arabian_village_conq|阿 拉 伯 城 镇 （ 白 天 ） 
str_mp_arabian_village_conq_morning|阿 拉 伯 城 镇 （ 早 晨 ） 
str_mp_ardennes|阿 登 （ 下 雪 ） 
str_mp_ardennes_morning|阿 登 （ 早 晨 ） 
str_mp_avignon|阿 维 尼 翁 （ 白 天 ） 
str_mp_avignon_morning|阿 维 尼 翁 （ 早 晨 ） 
str_mp_bavarian_river|巴 伐 利 亚 河 （ 白 天 ） 
str_mp_bavarian_river_cloudy|巴 伐 利 亚 河 （ 多 云 ） 
str_mp_beach|海 滩 （ 白 天 ）
str_mp_beach_morning|海 滩 （ 早 晨 ）
str_mp_borodino|博 罗 季 诺 （ 白 天 ） 
str_mp_borodino_morn|博 罗 季 诺 （ 早 晨 ） 
str_mp_champs_elysees|香 榭 丽 舍 大 街 （ 白 天 ） 
str_mp_champs_elysees_rain|香 榭 丽 舍 大 街 （ 雨 天 ） 
str_mp_charge_to_the_rhine|赶 去 莱 茵 （ 白 天 ） 
str_mp_charge_to_the_rhine_cloudy|赶 去 莱 茵 （ 多 云 ） 
str_mp_citadelle_napoleon|拿 破 仑 城 堡 （ 白 天 ） 
str_mp_citadelle_napoleon_morning|拿 破 仑 城 堡 （ 早 晨 ） 
str_mp_columbia_hill_farm|哥 伦 比 亚 农 场 （ 白 天 ） 
str_mp_columbia_farm_morning|哥 伦 比 亚 农 场 （ 早 晨 ） 
str_mp_countryside|乡 村 （ 白 天 ） 
str_mp_countryside_fog|乡 村 （ 雾 ） 
str_mp_dust|沙 地 （ 白 天 ） 
str_mp_dust_morning|沙 地 （ 早 晨 ） 
str_mp_european_city_summer|欧 洲 城 市 （ 夏 天 ） 
str_mp_european_city_winter|欧 洲 城 市 （ 冬 天 ） 
str_mp_floodplain|漫 滩 （ 白 天 ） 
str_mp_floodplain_storm|漫 滩 （ 暴 风 雨 ） 
str_mp_forest_pallisade|森 林 木 堡 （ 白 天 ） 
str_mp_forest_pallisade_fog|森 林 木 堡 （ 雾 ） 
str_mp_fort_al_hafya|艾 哈 菲 亚 堡 （ 白 天 ） 
str_mp_fort_al_hafya_night|艾 哈 菲 亚 堡 （ 夜 晚 ） 
str_mp_fort_bashir|巴 希 尔 堡 （ 白 天 ） 
str_mp_fort_bashir_morning|巴 希 尔 堡 （ 早 晨 ） 
str_mp_fort_beaver|近 郊 堡 垒 （ 白 天 ） 
str_mp_fort_beaver_morning|近 郊 堡 垒 （ 早 晨 ） 
str_mp_fort_boyd|博 伊 德 堡 （ 白 天 ） 
str_mp_fort_boyd_raining|博 伊 德 堡 （ 下 雨 ） 
str_mp_fort_brochet|布 罗 谢 堡 （ 白 天 ） 
str_mp_fort_brochet_raining|布 罗 谢 堡 （ 下 雨 ） 
str_mp_fort_de_chartres|沙 特 尔 堡 （ 白 天 ） 
str_mp_fort_de_chartres_raining|沙 特 尔 堡 （ 下 雨 ） 
str_mp_fort_fleetwood|弗 利 特 伍 德 堡 （ 早 晨 ） 
str_mp_fort_fleetwood_storm|弗 利 特 伍 德 堡 （ 暴 风 雨 ） 
str_mp_fort_george|乔 治 堡 （ 白 天 ） 
