dlga_start:companion_talk|很 高 興 再 一 次 見 到 您 ， {先 生 /女 士 }， 我 能 幫 到 您 嗎 ？ 
dlga_companion_talk:companion_talk_equipment|讓 我 看 一 下 您 的 裝 備 。 
dlga_companion_talk_equipment:companion_talk_end|非 常 好 ， 都 在 這 裡 了 。 
dlga_companion_talk_end:companion_talk|還 有 別 的 嗎 ？ 
dlga_companion_talk:companion_talk_opinion|你 對 我 的 指 揮 怎 麼 想 ？ 
dlga_companion_talk_opinion:companion_talk|很 好 ， {先 生 /女 士 } ！ 
dlga_companion_talk:close_window|沒 事 ， 繼 續 。 
dlga_start:town_merchant_talk|日 安 ， 我 能 為 你 做 些 什 麼 ？ 
dlga_town_merchant_talk:trade_requested_weapons|我 想 買 把 新 武 器 ， 你 有 些 什 麼 ？ 
dlga_town_merchant_talk:trade_requested_armor|我 在 找 一 些 新 服 飾 ， 展 示 一 下 你 這 兒 有 些 什 麼 吧 ？ 
dlga_town_merchant_talk:trade_requested_horse|我 正 在 想 買 匹 新 的 馬 。 
dlga_trade_requested_weapons:merchant_trade|嗯 ， 好 的 ， {先 生 /女 士 }， 這 些 是 你 看 過 最 好 的 武 器 了 。 
dlga_trade_requested_armor:merchant_trade|當 然 了 ， {先 生 /女 士 }， 你 不 會 找 到 比 我 這 兒 質 量 更 好 的 衣 服 了 。 
dlga_trade_requested_horse:merchant_trade|你 要 找 一 匹 好 馬 ， {先 生 /女 士 } ，你 不 會 找 到 比 這 兒 更 好 的 畜 生 了 。 
dlga_merchant_trade:town_merchant_talk|還 有 別 的 嗎 ？ 
dlga_town_merchant_talk:close_window|再 見 。 
dlga_start:camp_dweller_talk|{s14}義 務 報 告 ， {先 生 /女 士 } ！ 
dlga_start:camp_dweller_talk.1|日 安 ， {先 生 /女 士 }。 有 事 要 說 嗎 ？ 
dlga_start:camp_dweller_talk.2|先 生 ， 我 帶 來 了 下 一 次 任 務 的 命 令 ， 您 是 否 接 受 ？ 
dlga_start:camp_dweller_talk.3|很 榮 幸 見 到 你 ， {先 生 /女 士 }， 我 能 為 您 服 務 嗎 ？ 
dlga_camp_dweller_talk:close_window|沒 事 ， 繼 續 。 
dlga_camp_dweller_talk:close_window.1|現 在 不 行 先 生 ， 祝 你 今 晚 愉 快 。 
dlga_camp_dweller_talk:close_window.2|給 我 命 令 ！ 我 會 馬 上 離 開 ！ 
dlga_camp_dweller_talk:close_window.3|我 還 沒 准 備 好 。 
dlga_camp_dweller_talk:close_window.4|不 要 緊 。 
dlga_start:close_window|對 話 錯 誤 。 沒 有 尋 找 到 對 話 。 
