str_no_string|NO STRING!
str_empty_string|
str_yes|是 
str_no|否 
str_blank_string|
str_s50_and_s51|{s50}和 {s51}
str_s52_and_s51|{s52}和 {s51}
str_msg_battle_won|戰 鬥 勝 利 ！ 按 TAB鍵 離 開 … … 
str_charge|填 裝 
str_color|顏 色 
str_hold_fire|停 止 射 擊 
str_blunt_hold_fire|鈍 器 /停 止 射 擊 
str_finished|（ 完 成 ） 
str_delivered_damage|施 加 了 {reg60}點 傷 害 。 
str_archery_target_hit|距 離 ： {reg61}米 。 分 數 ： {reg60}
str_cant_use_inventory_now|不 能 在 這 裡 打 開 物 品 欄 。 
str_give_up_fight|放 棄 戰 鬥 ？ 
str_battle_won|你 贏 得 了 這 場 戰 鬥 ！ 
str_battle_lost|你 輸 掉 了 這 場 戰 鬥 ！ 
str_kingdom_1_adjective|聯 合 王 國 
str_kingdom_2_adjective|法 蘭 西 帝 國 
str_kingdom_3_adjective|普 魯 士 王 國 
str_kingdom_4_adjective|俄 羅 斯 帝 國 
str_kingdom_5_adjective|奧 地 利 帝 國 
str_kingdom_6_adjective|萊 茵 邦 聯 
str_credits_15|未 使 用 
str_mp_ambush|伏 擊 （ 白 天 ） 
str_mp_ambush_fog|伏 擊 （ 霧 ） 
str_mp_arabian_harbour|阿 拉 伯 港 （ 白 天 ） 
str_mp_arabian_harbour_night|阿 拉 伯 港 （ 夜 晚 ） 
str_mp_arabian_village|阿 拉 伯 村 莊 （ 白 天 ） 
str_mp_arabian_village_morning|阿 拉 伯 村 莊 （ 早 晨 ） 
str_mp_arabian_village_conq|阿 拉 伯 城 鎮 （ 白 天 ） 
str_mp_arabian_village_conq_morning|阿 拉 伯 城 鎮 （ 早 晨 ） 
str_mp_ardennes|阿 登 （ 下 雪 ） 
str_mp_ardennes_morning|阿 登 （ 早 晨 ） 
str_mp_avignon|阿 維 尼 翁 （ 白 天 ） 
str_mp_avignon_morning|阿 維 尼 翁 （ 早 晨 ） 
str_mp_bavarian_river|巴 伐 利 亞 河 （ 白 天 ） 
str_mp_bavarian_river_cloudy|巴 伐 利 亞 河 （ 多 雲 ） 
str_mp_beach|海 灘 （ 白 天 ） 
str_mp_beach_morning|海 灘 （ 早 晨 ） 
str_mp_borodino|博 羅 季 諾 （ 白 天 ） 
str_mp_borodino_morn|博 羅 季 諾 （ 早 晨 ） 
str_mp_champs_elysees|香 榭 麗 舍 大 街 （ 白 天 ） 
str_mp_champs_elysees_rain|香 榭 麗 舍 大 街 （ 雨 天 ） 
str_mp_charge_to_the_rhine|趕 去 萊 茵 （ 白 天 ） 
str_mp_charge_to_the_rhine_cloudy|趕 去 萊 茵 （ 多 雲 ） 
str_mp_citadelle_napoleon|拿 破 侖 城 堡 （ 白 天 ） 
str_mp_citadelle_napoleon_morning|拿 破 侖 城 堡 （ 早 晨 ） 
str_mp_columbia_hill_farm|哥 倫 比 亞 農 場 （ 白 天 ） 
str_mp_columbia_farm_morning|哥 倫 比 亞 農 場 （ 早 晨 ） 
str_mp_countryside|鄉 村 （ 白 天 ） 
str_mp_countryside_fog|鄉 村 （ 霧 ） 
str_mp_dust|沙 地 （ 白 天 ） 
str_mp_dust_morning|沙 地 （ 早 晨 ） 
str_mp_european_city_summer|歐 洲 城 市 （ 夏 天 ） 
str_mp_european_city_winter|歐 洲 城 市 （ 冬 天 ） 
str_mp_floodplain|漫 灘 （ 白 天 ） 
str_mp_floodplain_storm|漫 灘 （ 暴 風 雨 ） 
str_mp_forest_pallisade|森 林 木 堡 （ 白 天 ） 
str_mp_forest_pallisade_fog|森 林 木 堡 （ 霧 ） 
str_mp_fort_al_hafya|艾 哈 菲 亞 堡 （ 白 天 ） 
str_mp_fort_al_hafya_night|艾 哈 菲 亞 堡 （ 夜 晚 ） 
str_mp_fort_bashir|巴 希 爾 堡 （ 白 天 ） 
str_mp_fort_bashir_morning|巴 希 爾 堡 （ 早 晨 ） 
str_mp_fort_beaver|近 郊 堡 壘 （ 白 天 ） 
str_mp_fort_beaver_morning|近 郊 堡 壘 （ 早 晨 ） 
str_mp_fort_boyd|博 伊 德 堡 （ 白 天 ） 
str_mp_fort_boyd_raining|博 伊 德 堡 （ 下 雨 ） 
str_mp_fort_brochet|布 羅 謝 堡 （ 白 天 ） 
str_mp_fort_brochet_raining|布 羅 謝 堡 （ 下 雨 ） 
str_mp_fort_de_chartres|沙 特 爾 堡 （ 白 天 ） 
str_mp_fort_de_chartres_raining|沙 特 爾 堡 （ 下 雨 ） 
str_mp_fort_fleetwood|弗 利 特 伍 德 堡 （ 早 晨 ） 
str_mp_fort_fleetwood_storm|弗 利 特 伍 德 堡 （ 暴 風 雨 ） 
