itm_no_item|INVALID ITEM
itm_no_item_pl|INVALID ITEM 
itm_french_cav_pistol|手 槍 
itm_french_cav_pistol_pl|手 槍 
itm_french_officer_pistol|手 槍 
itm_french_officer_pistol_pl|手 槍 
itm_french_pistol_1766|手 槍 
itm_french_pistol_1766_pl|手 槍 
itm_french_pistol_1777|手 槍 
itm_french_pistol_1777_pl|手 槍 
itm_russian_pistol|手 槍 
itm_russian_pistol_pl|手 槍 
itm_british_pistol|手 槍 
itm_british_pistol_pl|手 槍 
itm_french_mousquiton|騎 兵 卡 賓 槍 
itm_french_mousquiton_pl|騎 兵 卡 賓 槍 
itm_french_mousquiton_melee|騎 兵 卡 賓 槍 
itm_french_mousquiton_melee_pl|騎 兵 卡 賓 槍 
itm_french_mousquiton_ai|騎 兵 卡 賓 槍 
itm_french_mousquiton_ai_pl|騎 兵 卡 賓 槍 
itm_french_mousquiton_light|輕 騎 兵 卡 賓 槍 
itm_french_mousquiton_light_pl|輕 騎 兵 卡 賓 槍 
itm_french_mousquiton_light_melee|輕 騎 兵 卡 賓 槍 
itm_french_mousquiton_light_melee_pl|輕 騎 兵 卡 賓 槍 
itm_french_mousquiton_light_ai|輕 騎 兵 卡 賓 槍 
itm_french_mousquiton_light_ai_pl|輕 騎 兵 卡 賓 槍 
itm_french_dragoon_musket|騎 兵 火 槍 
itm_french_dragoon_musket_pl|騎 兵 火 槍 
itm_french_dragoon_musket_melee|騎 兵 火 槍 
itm_french_dragoon_musket_melee_pl|騎 兵 火 槍 
itm_french_dragoon_musket_ai|騎 兵 火 槍 
itm_french_dragoon_musket_ai_pl|騎 兵 火 槍 
itm_russian_dragoon_musket|騎 兵 火 槍 
itm_russian_dragoon_musket_pl|騎 兵 火 槍 
itm_russian_dragoon_musket_melee|騎 兵 火 槍 
itm_russian_dragoon_musket_melee_pl|騎 兵 火 槍 
itm_russian_dragoon_musket_ai|騎 兵 火 槍 
itm_russian_dragoon_musket_ai_pl|騎 兵 火 槍 
itm_russian_cavalry_stutzer_1803|短 卡 賓 槍 
itm_russian_cavalry_stutzer_1803_pl|短 卡 賓 槍 
itm_russian_gusarskiy_karabin|短 火 槍 
itm_russian_gusarskiy_karabin_pl|短 火 槍 
itm_russian_gusarskiy_karabin_melee|短 火 槍 
itm_russian_gusarskiy_karabin_melee_pl|短 火 槍 
itm_russian_gusarskiy_karabin_ai|短 火 槍 
itm_russian_gusarskiy_karabin_ai_pl|短 火 槍 
itm_british_carbine|騎 兵 卡 賓 槍 
itm_british_carbine_pl|騎 兵 卡 賓 槍 
itm_british_carbine_melee|騎 兵 卡 賓 槍 
itm_british_carbine_melee_pl|騎 兵 卡 賓 槍 
itm_british_carbine_ai|騎 兵 卡 賓 槍 
itm_british_carbine_ai_pl|騎 兵 卡 賓 槍 
itm_russian_rifle_1805|來 福 槍 
itm_russian_rifle_1805_pl|來 福 槍 
itm_russian_rifle_1805_melee|來 福 槍 
itm_russian_rifle_1805_melee_pl|來 福 槍 
itm_british_baker_rifle|來 福 槍 
itm_british_baker_rifle_pl|來 福 槍 
itm_british_baker_rifle_melee|來 福 槍 
itm_british_baker_rifle_melee_pl|來 福 槍 
itm_sniper_rifle|狙 擊 步 槍 
itm_sniper_rifle_pl|狙 擊 步 槍 
itm_blunderbluss|霰 彈 槍 
itm_blunderbluss_pl|霰 彈 槍 
itm_french_charleville|步 兵 火 槍 
itm_french_charleville_pl|步 兵 火 槍 
itm_french_charleville_melee|步 兵 火 槍 
itm_french_charleville_melee_pl|步 兵 火 槍 
itm_french_versailles|步 兵 火 槍 
itm_french_versailles_pl|步 兵 火 槍 
itm_french_versailles_melee|步 兵 火 槍 
itm_french_versailles_melee_pl|步 兵 火 槍 
itm_british_brown_bess|步 兵 火 槍 
itm_british_brown_bess_pl|步 兵 火 槍 
itm_british_brown_bess_melee|步 兵 火 槍 
itm_british_brown_bess_melee_pl|步 兵 火 槍 
itm_russian_musket_1808|步 兵 火 槍 
itm_russian_musket_1808_pl|步 兵 火 槍 
itm_russian_musket_1808_melee|步 兵 火 槍 
itm_russian_musket_1808_melee_pl|步 兵 火 槍 
itm_austrian_musket|步 兵 火 槍 
itm_austrian_musket_pl|步 兵 火 槍 
itm_austrian_musket_melee|步 兵 火 槍 
itm_austrian_musket_melee_pl|步 兵 火 槍 
itm_prussian_potsdam|步 兵 火 槍 
itm_prussian_potsdam_pl|步 兵 火 槍 
itm_prussian_potsdam_melee|步 兵 火 槍 
itm_prussian_potsdam_melee_pl|步 兵 火 槍 
itm_prussian_musket_1806|步 兵 火 槍 
itm_prussian_musket_1806_pl|步 兵 火 槍 
itm_prussian_musket_1806_melee|步 兵 火 槍 
itm_prussian_musket_1806_melee_pl|步 兵 火 槍 
itm_french_art_off_sword|炮 兵 軍 官 劍 
itm_french_art_off_sword_pl|炮 兵 軍 官 劍 
itm_french_carabineer_sword|重 騎 兵 劍 
itm_french_carabineer_sword_pl|重 騎 兵 劍 
itm_french_briquet_garde|近 衛 短 軍 刀 
itm_french_briquet_garde_pl|近 衛 短 軍 刀 
itm_french_light_cav_sabre_garde|輕 騎 兵 軍 刀 
itm_french_light_cav_sabre_garde_pl|輕 騎 兵 軍 刀 
itm_french_heavy_cav_sabre_garde|重 騎 兵 軍 刀 
itm_french_heavy_cav_sabre_garde_pl|重 騎 兵 軍 刀 
itm_french_inf_off_sabre_garde|帝 國 近 衛 軍 官 軍 刀 
itm_french_inf_off_sabre_garde_pl|帝 國 近 衛 軍 官 軍 刀 
itm_french_heavy_cav_off_sabre|重 騎 兵 軍 刀 
itm_french_heavy_cav_off_sabre_pl|重 騎 兵 軍 刀 
itm_french_inf_off_sabre|步 兵 軍 刀 
itm_french_inf_off_sabre_pl|步 兵 軍 刀 
itm_french_light_cav_off_sabre|輕 騎 兵 軍 刀 
itm_french_light_cav_off_sabre_pl|輕 騎 兵 軍 刀 
itm_french_light_inf_off_sabre|輕 步 兵 軍 刀 
itm_french_light_inf_off_sabre_pl|輕 步 兵 軍 刀 
itm_french_line_cav_sabre|騎 兵 隊 軍 刀 
itm_french_line_cav_sabre_pl|騎 兵 隊 軍 刀 
