trp_player|玩 家 
trp_player_pl|玩 家 
trp_multiplayer_profile_troop_male|multiplayer profile troop male
trp_multiplayer_profile_troop_male_pl|multiplayer profile troop male 
trp_multiplayer_profile_troop_female|multiplayer profile troop female 
trp_multiplayer_profile_troop_female_pl|multiplayer profile troop female 
trp_temp_troop|Temp Troop 
trp_temp_troop_pl|Temp Troop 
trp_british_infantry_ai|英 國 線 列 步 兵 
trp_british_infantry_ai_pl|線 列 步 兵 
trp_british_infantry2_ai|英 王 德 意 志 線 列 步 兵 
trp_british_infantry2_ai_pl|線 列 步 兵 （ 英 王 德 意 志 ） 
trp_british_highlander_ai|英 國 高 地 步 兵 
trp_british_highlander_ai_pl|高 地 步 兵 
trp_british_foot_guard_ai|英 國 近 衛 步 兵 
trp_british_foot_guard_ai_pl|近 衛 步 兵 
trp_british_light_infantry_ai|英 國 輕 步 兵 
trp_british_light_infantry_ai_pl|輕 步 兵 
trp_british_rifle_ai|英 國 來 福 槍 兵 
trp_british_rifle_ai_pl|來 福 槍 兵 
trp_british_hussar_ai|英 王 德 意 志 驃 騎 兵 
trp_british_hussar_ai_pl|驃 騎 兵 （ 英 王 德 意 志 ） 
trp_british_light_dragoon_ai|英 國 輕 龍 騎 兵 
trp_british_light_dragoon_ai_pl|輕 龍 騎 兵 
trp_british_dragoon_ai|英 國 龍 騎 兵 
trp_british_dragoon_ai_pl|重 龍 騎 兵 
trp_british_horseguard_ai|英 國 近 衛 騎 兵 
trp_british_horseguard_ai_pl|近 衛 騎 兵 
trp_british_ship_ai|英 國 水 手 
trp_british_ship_ai_pl|水 手 
trp_british_ship_marine_ai|英 國 水 兵 
trp_british_ship_marine_ai_pl|水 兵 
trp_british_arty_ai|英 國 炮 兵 
trp_british_arty_ai_pl|炮 兵 （ 加 農 炮 ） 
trp_british_arty_alt_ai|英 國 炮 兵 
trp_british_arty_alt_ai_pl|炮 兵 （ 榴 彈 炮 ） 
trp_british_rocket_ai|英 國 火 箭 炮 兵 
trp_british_rocket_ai_pl|火 箭 炮 兵 
trp_french_infantry_ai|法 國 線 列 步 兵 
trp_french_infantry_ai_pl|線 列 步 兵 
trp_french_infantry2_ai|法 國 擲 彈 兵 
trp_french_infantry2_ai_pl|擲 彈 兵 
trp_french_infantry_vistula_ai|波 蘭 線 列 步 兵 
trp_french_infantry_vistula_ai_pl|線 列 步 兵 （ 波 蘭 ） 
trp_french_old_guard_ai|法 國 近 衛 擲 彈 兵 
trp_french_old_guard_ai_pl|近 衛 擲 彈 兵 
trp_french_voltigeur_ai|法 國 尖 兵 
trp_french_voltigeur_ai_pl|尖 兵 
trp_french_hussar_ai|法 國 驃 騎 兵 
trp_french_hussar_ai_pl|驃 騎 兵 
trp_french_lancer_ai|波 蘭 槍 騎 兵 
trp_french_lancer_ai_pl|槍 騎 兵 （ 波 蘭 ） 
trp_french_dragoon_ai|法 國 龍 騎 兵 
trp_french_dragoon_ai_pl|龍 騎 兵 
trp_french_cuirassier_ai|法 國 胸 甲 騎 兵 
trp_french_cuirassier_ai_pl|胸 甲 騎 兵 
trp_french_carabineer_ai|法 國 卡 賓 槍 騎 兵 
trp_french_carabineer_ai_pl|卡 賓 槍 騎 兵 
trp_french_grenadier_a_cheval_ai|法 國 擲 彈 騎 兵 
trp_french_grenadier_a_cheval_ai_pl|擲 彈 騎 兵 
trp_french_ship_ai|法 國 水 手 
trp_french_ship_ai_pl|水 手 
trp_french_ship_marine_ai|法 國 水 兵 
trp_french_ship_marine_ai_pl|水 兵 
trp_french_arty_ai|法 國 炮 兵 
trp_french_arty_ai_pl|炮 兵 （ 加 農 炮 ） 
trp_french_arty_alt_ai|法 國 炮 兵 
trp_french_arty_alt_ai_pl|炮 兵 （ 榴 彈 炮 ） 
trp_prussian_infantry_ai|普 魯 士 線 列 步 兵 
trp_prussian_infantry_ai_pl|線 列 步 兵 （ 勃 蘭 登 堡 ） 
trp_prussian_infantry2_ai|普 魯 士 線 列 步 兵 
trp_prussian_infantry2_ai_pl|線 列 步 兵 （ 萊 茵 ） 
trp_prussian_infantry_kurmark_ai|普 魯 士 后 備 兵 
trp_prussian_infantry_kurmark_ai_pl|后 備 兵 
trp_prussian_infantry_freikorps_ai|普 魯 士 志 願 兵 
trp_prussian_infantry_freikorps_ai_pl|志 願 兵 
trp_prussian_infantry_15_ai|普 魯 士 近 衛 步 兵 
trp_prussian_infantry_15_ai_pl|近 衛 步 兵 
trp_prussian_infantry_rifle_ai|普 魯 士 獵 兵 
trp_prussian_infantry_rifle_ai_pl|獵 兵 
trp_prussian_dragoon_ai|普 魯 士 龍 騎 兵 
trp_prussian_dragoon_ai_pl|龍 騎 兵 
trp_prussian_hussar_ai|普 魯 士 驃 騎 兵 
trp_prussian_hussar_ai_pl|驃 騎 兵 
trp_prussian_landwehr_cav_ai|普 魯 士 槍 騎 兵 
trp_prussian_landwehr_cav_ai_pl|槍 騎 兵 
