fac_no_faction|Bez frakce
fac_commoners|Plebejci
fac_outlaws|Psanci
fac_neutral|Neutrální
fac_player_faction|Hráčská frakce
fac_player_supporters_faction|Hráčovi podporovatelé
fac_britain|Spojené Království
fac_france|Empire Francais
fac_prussia|Königreich Preußen
fac_russia|Rossiyskaya Imperiya
fac_austria|Kaisertum Österreich
fac_rhine|Rýnský spolek
fac_kingdom_7|Neplatná frakce
fac_kingdom_8|Neplatná frakce
fac_kingdom_9|Neplatná frakce
fac_kingdom_10|Neplatná frakce
fac_british_ranks|Další Britské hodnosti
fac_french_ranks|Další Francouzské hodnosti
fac_prussian_ranks|Další Pruské hodnosti
fac_russian_ranks|Další Ruské hodnosti
fac_austrian_ranks|Další Rakouské hodnosti
fac_rhine_ranks|Další Rýnské hodnosti
