str_no_string|PRÁZDNÝ STRING!
str_empty_string| 
str_yes|Ano.
str_no|Ne.
str_blank_string| 
str_s50_and_s51|{s50} a {s51}
str_s52_and_s51|{s52} a {s51}
str_msg_battle_won|Vítězství! Pokračuj stiskem klávesy tab...
str_charge|Výpad
str_color|Barva
str_hold_fire|Přidrž střelbu
str_blunt_hold_fire|Úder / Přidrž střelbu
str_finished|(Dokončeno)
str_delivered_damage|Způsobeno {reg60} bodů poškození.
str_archery_target_hit|Vzdálenost: {reg61} m. Skóre: {reg60}
str_cant_use_inventory_now|Inventář teď nelze otevřít.
str_give_up_fight|Chceš se vzdát?
str_battle_won|Vítězství je tvoje!
str_battle_lost|Bitva je ztracena!
str_kingdom_1_adjective|Spojené království
str_kingdom_2_adjective|Francouzské císařství
str_kingdom_3_adjective|Koenigreich Preussen
str_kingdom_4_adjective|Rossijskaja Imperija
str_kingdom_5_adjective|Rakousko
str_kingdom_6_adjective|Sarranidský sultanát
str_credits_15|Nevyužito
str_mp_ambush|Přepadení (Den)
str_mp_ambush_fog|Přepadení (Mlha)
str_mp_arabian_harbour|Arabský přístav (Den)
str_mp_arabian_harbour_night|Arabský přístav (Noc)
str_mp_arabian_village|Arabská vesnice (Den)
str_mp_arabian_village_morning|Arabská vesnice (Ráno)
str_mp_arabian_village_conq|Arabské město (Den)
str_mp_arabian_village_conq_morning|Arabské město (Ráno)
str_mp_ardennes|Ardeny (Vánice)
str_mp_ardennes_morning|Ardeny (Ráno)
str_mp_avignon|Avignon (Den)
str_mp_avignon_morning|Avignon (Oblačno)
str_mp_bavarian_river|Bavorská řeka (Den)
str_mp_bavarian_river_cloudy|Bavorská řeka (Oblačno)
str_mp_beach|Pláž (Den)
str_mp_beach_morning|Pláž (Ráno)
str_mp_borodino|Borodino (Den)
str_mp_borodino_morn|Borodino (Ráno)
str_mp_champs_elysees|Champs-Élysées (Den)
str_mp_champs_elysees_rain|Champs-Élysées (Déšť)
str_mp_charge_to_the_rhine|Útok na Rýn (Den)
str_mp_charge_to_the_rhine_cloudy|Útok na Rýn (Oblačno)
str_mp_citadelle_napoleon|Napoleonova pevnost (Den)
str_mp_citadelle_napoleon_morning|Napoleonova pevnost (Ráno)
str_mp_columbia_hill_farm|Statek Columbia (Den)
str_mp_columbia_farm_morning|Statek Columbia (Ráno)
