skl_trade|Obchod
skl_trade_desc|Každá úroveò této schopnosti snižuje tvùj obchodní postih o 5%%. (Schopnost družiny)
skl_leadership|Velitelství
skl_leadership_desc|S každým bodem se o 5 zvyšuje maximální poèet jednotek, kterým mùžeš velet, zvyšuje se morálka družiny a náklady na výplatu družiny se snižují o 5%%. (Velitelská schopnost)
skl_prisoner_management|Správa vìzòù
skl_prisoner_management_desc|Každá úroveò této schopnosti zvyšuje maximální poèet vìzòù o %d. (Velitelská schopnost)
skl_reserved_1|Rezervovaná schopnost 1
skl_reserved_1_desc|Tato schopnost je rezervovaná.
skl_reserved_2|Rezervovaná schopnost 2
skl_reserved_2_desc|Tato schopnost je rezervovaná.
skl_reserved_3|Rezervovaná schopnost 3
skl_reserved_3_desc|Tato schopnost je rezervovaná.
skl_reserved_4|Rezervovaná schopnost 4
skl_reserved_4_desc|Tato schopnost je rezervovaná.
skl_persuasion|Pøesvìdèování
skl_persuasion_desc|Tato schopnost ti pomáhá pøesvìdèit jiné lidi, aby se ztotožnili s tvým pohledem na vìc. Také snižuje minimální úroveò vztahu potøebnou k tomu, aby postavy udìlaly, co po nich chceš. (Osobní schopnost)
skl_engineer|Stavebnictví
skl_engineer_desc|Tato schopnost ti umožòuje stavìt úèinnìjší obléhací vybavení a bojová vylepšení. (Schopnost družiny)
skl_first_aid|První pomoc
skl_first_aid_desc|Hrdinové získávají zpìt 5%% bodù zdraví ztracených v prùbìhu boje, a to za každou úroveò. (Schopnost družiny)
skl_surgery|Chirurgie
skl_surgery_desc|Každý bod této schopnosti ti dává šanci 4%%, že smrtelnì ranìný èlen družiny bude pouze zranìn a nikoli zabit. (Schopnost družiny)
skl_wound_treatment|Ošetøování ran
skl_wound_treatment_desc|Rychlost léèení družiny se zvyšuje o 20%% za každou úroveò této schopnosti. (Schopnost družiny)
skl_inventory_management|Skladování zásob
skl_inventory_management_desc|Zvyšuje kapacitu inventáøe o +6 za každou úroveò této schopnosti. (Velitelská schopnost)
skl_spotting|Pozorování
skl_spotting_desc|Rozhled družiny se zvyšuje o 10%% za každou úroveò této schopnosti. (Schopnost družiny)
skl_pathfinding|Hledání cesty
skl_pathfinding_desc|Rychlost cestování družiny po mapì se zvyšuje o 3%% za každou úroveò této schopnosti. (Schopnost družiny)
skl_tactics|Taktika
skl_tactics_desc|Za každé dvì úrovnì této schopnosti se zvyšuje o 1 poèáteèní výhoda v bitvì. (Schopnost družiny)
skl_tracking|Stopování
skl_tracking_desc|Ze stop lze vyèíst více informací. (Schopnost družiny)
skl_trainer|Cvièitel
skl_trainer_desc|Každý hrdina s touto schopností pøidává každý den urèitý poèet zkušeností všem ostatním èlenùm družiny, kteøí mají nižší úroveò než on. Poèet pøidaných zkušeností se zvyšuje v poøadí: {0,4,10,16,23,30,38,46,55,65,80}. (Osobní schopnost)
skl_reserved_5|Rezervovaná schopnost 5
skl_reserved_5_desc|Tato schopnost je rezervovaná.
skl_reserved_6|Rezervovaná schopnost 6
skl_reserved_6_desc|Tato schopnost je rezervovaná.
skl_reserved_7|Rezervovaná schopnost 7
skl_reserved_7_desc|Tato schopnost je rezervovaná.
skl_reserved_8|Rezervovaná schopnost 8
skl_reserved_8_desc|Tato schopnost je rezervovaná.
skl_looting|Koøistnictví
skl_looting_desc|Tato schopnost zvyšuje množství získané koøisti o 10%% za každou úroveò této schopnosti. (Schopnost družiny)
skl_horse_archery|Jízdní lukostøelba
skl_horse_archery_desc|Snižuje postih na škody a pøesnost lukostøelby a vrhacích zbraní pøi jízdì na koni. (Osobní schopnost)
skl_riding|Jezdectví
skl_riding_desc|Umožòuje jízdu na lepších koních (což je obtížnìjší) a zvyšuje rychlost jízdy a manévrování. (Osobní schopnost)
skl_athletics|Atletika
