skinkey_chin_size|Velikost brady
skinkey_chin_shape|Tvar brady
skinkey_chin_forward|Vysunutí brady
skinkey_jaw_width|Šíøka èelisti
skinkey_jaw_position|Pozice èelisti
skinkey_mouth_nose_distance|Vzdálenost nosu od úst
skinkey_mouth_width|Šíøka úst
skinkey_cheeks|Tváøe
skinkey_nose_height|Vıška nosu
skinkey_nose_width|Šíøka nosu
skinkey_nose_size|Velikost nosu
skinkey_nose_shape|Tvar nosu
skinkey_nose_bridge|Koøen nosu
skinkey_cheek_bones|Lícní kosti
skinkey_eye_width|Šíøka oèí
skinkey_eye_to_eye_dist|Vzdálenost oèí
skinkey_eye_shape|Tvar oèí
skinkey_eye_depth|Hloubka oèí
skinkey_eyelids|Oèní víèka
skinkey_eyebrow_position|Pozice oboèí
skinkey_eyebrow_height|Vıška oboèí
skinkey_eyebrow_depth|Hloubka oboèí
skinkey_eyebrow_shape|Tvar oboèí
skinkey_temple_width|Šíøka spánku
skinkey_face_depth|Hloubka oblièeje
skinkey_face_ratio|Pomìr oblièeje
skinkey_face_width|Šíøka oblièeje
skinkey_post_edit|Následná editace
