str_no_string|Kein String
str_empty_string| 
str_yes|Ja.
str_no|Nein.
str_blank_string| 
str_s50_and_s51|{s50} und {s51}
str_s52_and_s51|{s52} und {s51}
str_msg_battle_won|Schlacht gewonnen! Drücke Tab zum verlassen...
str_charge|Nahkampfangriff!
str_color|Farbe
str_hold_fire|Feuer Einstellen!
str_blunt_hold_fire|Feuer Einstellen!
str_finished|(Fertig)
str_delivered_damage|Fügte {reg60} Schaden zu.
str_archery_target_hit|Distanz: {reg61} Meter. Punkte: {reg60}
str_cant_use_inventory_now|Sie können das Inventar jetzt nich öffnen.
str_give_up_fight|Möchten sie die Schlacht jetzt aufgeben?
str_battle_won|Du hast die Schlacht gewonnen!
str_battle_lost|Du hast die Schlacht verloren!
str_kingdom_1_adjective|United Kingdom
str_kingdom_2_adjective|Empire Francais
str_kingdom_3_adjective|Königreich Preussen
str_kingdom_4_adjective|Rossiyskaya Imperiya
str_kingdom_5_adjective|Österreich
str_kingdom_6_adjective|Osmanische Reich
str_credits_15|Unused
str_mp_ambush|Hinterhalt (Tag)
str_mp_ambush_fog|Hinterhalt (Nebel)
str_mp_arabian_harbour|Arabischer Hafen (Tag)
str_mp_arabian_harbour_night|Arabischer Hafen (Nacht)
str_mp_arabian_village|Arabisches Dorf (Tag)
str_mp_arabian_village_morning|Arabisches Dorf (Morgen)
str_mp_arabian_village_conq|Arabisches Dorf (Tag)
str_mp_arabian_village_conq_morning|Arabisches Dorf (Morgen)
str_mp_ardennes|Ardennes (Schnee)
str_mp_ardennes_morning|Ardennes (Morgen)
str_mp_avignon|Avignon (Tag)
str_mp_avignon_morning|Avignon (Bewölkt)
str_mp_bavarian_river|Bayrischer Fluss (Tag)
str_mp_bavarian_river_cloudy|Bayrischer Fluss (Bewölkt)
str_mp_beach|Strand (Tag)
str_mp_beach_morning|Strand (Morgen)
str_mp_borodino|Borodino (Tag)
str_mp_borodino_morn|Borodino (Morgen)
str_mp_champs_elysees|Champs-Elysees
str_mp_champs_elysees_rain|Champs-Elysees (Regen)
str_mp_charge_to_the_rhine|Charge to the Rhine (Tag)
str_mp_charge_to_the_rhine_cloudy|Charge to the Rhine (Bewölkt)
str_mp_citadelle_napoleon|Citadelle Napoleon (tag)
str_mp_citadelle_napoleon_morning|Citadelle Napoleon (Morgen)
str_mp_columbia_hill_farm|Kolumbianische Farm (Tag)
str_mp_columbia_farm_morning|Kolumbianische Farm (Morgen)
str_mp_countryside|Landschaft (Tag)
str_mp_countryside_fog|Landschaft (Nebel)
str_mp_dust|Dust (Tag)
str_mp_dust_morning|Dust (Morgen)
str_mp_european_city_summer|Europäische Stadt (Sommer)
str_mp_european_city_winter|Europäische Stadt (Winter)
str_mp_floodplain|Flooplain (Tag)
str_mp_floodplain_storm|Floodplain (Sturm)
str_mp_forest_pallisade|Forest Pallisade (Tag)
str_mp_forest_pallisade_fog|Forest Pallisade (Nebel)
str_mp_fort_al_hafya|Fort Al Hafya (Tag)
str_mp_fort_al_hafya_night|Fort Al Hafya (Nacht)
str_mp_fort_bashir|Fort Bashir (Tag)
str_mp_fort_bashir_morning|Fort Bashir (Morgen)
str_mp_fort_beaver|Fort Fausbourg (Tag)
str_mp_fort_beaver_morning|Fort Fausbourg (Morgen)
str_mp_fort_boyd|Fort Boyd (Tag)
str_mp_fort_boyd_raining|Fort Boyd (Regen)
