itm_no_item|falsches item
itm_no_item_pl|INVALID ITEM
itm_french_cav_pistol|Pistole
itm_french_cav_pistol_pl|Pistole
itm_french_officer_pistol|Pistole
itm_french_officer_pistol_pl|Pistole
itm_french_pistol_1766|Pistole
itm_french_pistol_1766_pl|Pistole
itm_french_pistol_1777|Pistole
itm_french_pistol_1777_pl|Pistole
itm_russian_pistol|Pistole
itm_russian_pistol_pl|Pistole
itm_british_pistol|Pistole
itm_british_pistol_pl|Pistole
itm_french_mousquiton|Kavalleriekarabiner
itm_french_mousquiton_pl|Kavalleriekarabiner
itm_french_mousquiton_melee|Kavalleriekarabiner
itm_french_mousquiton_melee_pl|Kavalleriekarabiner
itm_french_mousquiton_ai|Kavalleriekarabiner
itm_french_mousquiton_ai_pl|Kavalleriekarabiner
itm_french_mousquiton_light|Kavalleriekarabiner
itm_french_mousquiton_light_pl|Kavalleriekarabiner
itm_french_mousquiton_light_melee|Kavalleriekarabiner
itm_french_mousquiton_light_melee_pl|Kavalleriekarabiner
itm_french_mousquiton_light_ai|Kavalleriekarabiner
itm_french_mousquiton_light_ai_pl|Kavalleriekarabiner
itm_french_dragoon_musket|Kavalleriekarabiner
itm_french_dragoon_musket_pl|Kavalleriekarabiner
itm_french_dragoon_musket_melee|Kavalleriekarabiner
itm_french_dragoon_musket_melee_pl|Kavalleriekarabiner
itm_french_dragoon_musket_ai|Kavalleriekarabiner
itm_french_dragoon_musket_ai_pl|Kavalleriekarabiner
itm_russian_dragoon_musket|Cavalry Musket
itm_russian_dragoon_musket_pl|Kavalleriekarabiner
itm_russian_dragoon_musket_melee|Kavalleriekarabiner
itm_russian_dragoon_musket_melee_pl|Kavalleriekarabiner
itm_russian_dragoon_musket_ai|Kavalleriekarabiner
itm_russian_dragoon_musket_ai_pl|Kavalleriekarabiner
itm_russian_cavalry_stutzer_1803|Kavalleriekarabiner
itm_russian_cavalry_stutzer_1803_pl|Kavalleriekarabiner
itm_russian_gusarskiy_karabin|Schrotflinte
itm_russian_gusarskiy_karabin_pl|Schrotflinte
itm_russian_gusarskiy_karabin_melee|Schrotflinte
itm_russian_gusarskiy_karabin_melee_pl|Schrotflinte
itm_russian_gusarskiy_karabin_ai|Schrotflinte
itm_russian_gusarskiy_karabin_ai_pl|Schrotflinte
itm_british_carbine|Kavalleriekarabiner
itm_british_carbine_pl|Kavalleriekarabiner
itm_british_carbine_melee|Kavalleriekarabiner
itm_british_carbine_melee_pl|Kavalleriekarabiner
itm_british_carbine_ai|Kavalleriekarabiner
itm_british_carbine_ai_pl|Kavalleriekarabiner
itm_russian_rifle_1805|Gewehr
itm_russian_rifle_1805_pl|Gewehr
itm_russian_rifle_1805_melee|Gewehr
itm_russian_rifle_1805_melee_pl|Gewehr
itm_british_baker_rifle|Gewehr
itm_british_baker_rifle_pl|Gewehr
itm_british_baker_rifle_melee|Gewehr
itm_british_baker_rifle_melee_pl|Gewehr
