trp_multiplayer_profile_troop_male|ehhhhhhh wtf
trp_multiplayer_profile_troop_male_pl|multiplayer profile troop male
trp_multiplayer_profile_troop_female|multiplayer profile troop female
trp_multiplayer_profile_troop_female_pl|multiplayer profile troop female
trp_temp_troop|Temp Troop
trp_temp_troop_pl|Temp Troop
trp_british_infantry_ai|British Linieninfanterie
trp_british_infantry_ai_pl|Linieninfanterie
trp_british_infantry2_ai|German Linieninfanterie
trp_british_infantry2_ai_pl|German Linieninfanterie
trp_british_highlander_ai|British Highland Infantry
trp_british_highlander_ai_pl|Highland Infantry
trp_british_foot_guard_ai|British Foot Guard
trp_british_foot_guard_ai_pl|Garde zu Fuß
trp_british_light_infantry_ai|British Leichte Infanterie
trp_british_light_infantry_ai_pl|Leichte Infanterie
trp_british_rifle_ai|British Jäger
trp_british_rifle_ai_pl|Jäger
trp_british_hussar_ai|British Hussar
trp_british_hussar_ai_pl|Hussars
trp_british_light_dragoon_ai|British Light Dragoon
trp_british_light_dragoon_ai_pl|Light Dragoner
trp_british_dragoon_ai|British Dragoon
trp_british_dragoon_ai_pl|Heavy Dragoner
trp_british_horseguard_ai|British Horse Guard
trp_british_horseguard_ai_pl|Horse Guards
trp_british_ship_ai|British Sailor
trp_british_ship_ai_pl|Sailors
trp_british_ship_marine_ai|British Marine
trp_british_ship_marine_ai_pl|Marines
trp_british_arty_ai|British Artillerist
trp_british_arty_ai_pl|Artillerie
trp_british_arty_alt_ai|British Artillerist
trp_british_arty_alt_ai_pl|Artillerie
trp_british_rocket_ai|British Rocketeer
trp_british_rocket_ai_pl|Artillerie
trp_french_infantry_ai|French Linieninfanterie
trp_french_infantry_ai_pl|Linieninfanterie
trp_french_infantry2_ai|French Grenadier
trp_french_infantry2_ai_pl|Grenadiere
trp_french_infantry_vistula_ai|Polish Linieninfanterie
trp_french_infantry_vistula_ai_pl|Polish Linieninfanterie
trp_french_old_guard_ai|French Grenadier Guard
trp_french_old_guard_ai_pl|Grenadier Guards
trp_french_voltigeur_ai|French Voltigeur
trp_french_voltigeur_ai_pl|Voltigeurs
trp_french_hussar_ai|French Hussar
trp_french_hussar_ai_pl|Hussar
trp_french_lancer_ai|Polish Lanzenreiter
trp_french_lancer_ai_pl|Lanzenreiter
trp_french_dragoon_ai|French Dragoon
trp_french_dragoon_ai_pl|Dragoner
trp_french_cuirassier_ai|French Cuirassier
trp_french_cuirassier_ai_pl|Kürassiere
trp_french_carabineer_ai|French Carabinier
trp_french_carabineer_ai_pl|Carabiniers
trp_french_grenadier_a_cheval_ai|French Horse Grenadier
trp_french_grenadier_a_cheval_ai_pl|Grenadier auf Pferd
trp_french_ship_ai|French Sailor
trp_french_ship_ai_pl|Sailors
trp_french_ship_marine_ai|French Marine
trp_french_ship_marine_ai_pl|Marines
trp_french_arty_ai|French Artillerist
trp_french_arty_ai_pl|Artillerie
trp_french_arty_alt_ai|French Artillerist
trp_french_arty_alt_ai_pl|Artillerie
trp_prussian_infantry_ai|Prussian Linieninfanterie
trp_prussian_infantry_ai_pl|Linieninfanterie (Brandenburg)
trp_prussian_infantry2_ai|Prussian Linieninfanterie
trp_prussian_infantry2_ai_pl|Linieninfanterie (Rhen)
trp_prussian_infantry_kurmark_ai|Prussian Landwehr
trp_prussian_infantry_kurmark_ai_pl|Landwehr
trp_prussian_infantry_freikorps_ai|Prussian Freikorps
trp_prussian_infantry_freikorps_ai_pl|Freikorps
trp_prussian_infantry_15_ai|Prussian Foot Guard
trp_prussian_infantry_15_ai_pl|Garde zu Fuß
trp_prussian_infantry_rifle_ai|Prussian Jaeger
trp_prussian_infantry_rifle_ai_pl|Jäger
trp_prussian_dragoon_ai|Prussian Dragoon
trp_prussian_dragoon_ai_pl|Dragoner
trp_prussian_hussar_ai|Prussian Hussar
trp_prussian_hussar_ai_pl|Hussar
trp_prussian_landwehr_cav_ai|Prussian Lanzenreiter
trp_prussian_landwehr_cav_ai_pl|Lanzenreiter
trp_prussian_cuirassier_ai|Prussian Cuirassier
trp_prussian_cuirassier_ai_pl|Kürassiere
trp_prussian_arty_ai|Prussian Artillerist
trp_prussian_arty_ai_pl|Artillerie
trp_prussian_arty_alt_ai|Prussian Artillerist
trp_prussian_arty_alt_ai_pl|Artillerie
trp_russian_partizan_ai|Russian Partisan
trp_russian_partizan_ai_pl|Partisans
trp_russian_opol_ai|Russian Militia
trp_russian_opol_ai_pl|Miliz
trp_russian_infantry_ai|Russian Linieninfanterie
trp_russian_infantry_ai_pl|Linieninfanterie
trp_russian_grenadier_ai|Russian Grenadier
trp_russian_grenadier_ai_pl|Grenadiere
trp_russian_foot_guard_ai|Russian Foot Guard
trp_russian_foot_guard_ai_pl|Garde zu Fuß
trp_russian_infantry_rifle_ai|Russian Jaeger
trp_russian_infantry_rifle_ai_pl|Jäger
trp_russian_hussar_ai|Russian Hussar
trp_russian_hussar_ai_pl|Hussar
trp_russian_uhlan_ai|Russian Uhlan
trp_russian_uhlan_ai_pl|Uhlans
trp_russian_cossack_ai|Russian Cossack
trp_russian_cossack_ai_pl|Cossacke
trp_russian_dragoon_ai|Russian Dragoon
trp_russian_dragoon_ai_pl|Dragoner
trp_russian_horse_guard_ai|Russian Cavalry Guard
trp_russian_horse_guard_ai_pl|Cavalry Guards
trp_russian_arty_ai|Russian Artillerist
trp_russian_arty_ai_pl|Artillerie
trp_russian_arty_alt_ai|Russian Artillerist
trp_russian_arty_alt_ai_pl|Artillerie
trp_austrian_infantry_ai|Austrian Linieninfanterie
trp_austrian_infantry_ai_pl|Linieninfanterie
trp_austrian_infantry2_ai|Hungarian Linieninfanterie
trp_austrian_infantry2_ai_pl|Linieninfanterie
trp_austrian_grenzer_ai|Austrian Grenzer
trp_austrian_grenzer_ai_pl|Grenzer
trp_austrian_grenadier_ai|Hungarian Grenadier
trp_austrian_grenadier_ai_pl|Grenadiere
trp_austrian_infantry_rifle_ai|Austrian Jaeger
trp_austrian_infantry_rifle_ai_pl|Jäger
trp_austrian_hussar_ai|Austrian Hussar
trp_austrian_hussar_ai_pl|Hussar
trp_austrian_uhlan_ai|Austrian Uhlan
trp_austrian_uhlan_ai_pl|Uhlane
trp_austrian_light_horse_ai|Austrian Chevauleger
trp_austrian_light_horse_ai_pl|Chevaulegers
trp_austrian_dragoon_ai|Austrian Dragoon
trp_austrian_dragoon_ai_pl|Dragoner
trp_austrian_cuirassier_ai|Austrian Cuirassier
trp_austrian_cuirassier_ai_pl|Kürassiere
trp_austrian_arty_ai|Austrian Artillerist
trp_austrian_arty_ai_pl|Artillerie
trp_austrian_arty_alt_ai|Austrian Artillerist
trp_austrian_arty_alt_ai_pl|Artillerie
trp_rhine_infantry_bavaria_ai|Bayerische Linieninfanterie 
trp_rhine_infantry_bavaria_ai_pl|Bayerische Linieninfanterie 
trp_rhine_infantry_wurttemberg_ai|Wurttemberger Linieninfanterie 
trw_rhine_infantry_wurttemberg_ai_pl|Württemberger Linieninfanterie 
trp_rhine_infantry_saxony_ai|Sächsische Linieninfanterie 
trp_rhine_infantry_saxony_ai_pl|Sächsische Linieninfanterie 
trp_rhine_infantry_wurttemberg2_ai|Württemberger Grenadier 
trp_rhine_infantry_wurttemberg2_ai_pl|Württemberger Grenadiere 
trp_rhine_grenadier_guard_ai|Westfälischer Grenadierwächter 
trp_rhine_grenadier_guard_ai_pl|Grenadierwachen 
trp_rhine_light_infantry_hessen_ai|Hessische leichte Infanterie 
trp_rhine_light_infantry_hessen_ai_pl|Leichte Infanterie 
trp_rhine_light_infantry_bavaria_ai|Bayerischer Kampfschütze 
trp_rhine_light_infantry_bavaria_ai_pl|Schütze 
trp_rhine_mounted_jaeger_ai|Nassauer berittener Jäger 
trp_rhine_mounted_jaeger_ai_pl|Berittene Jäger 
