itm_no_item|OBJETO INVALIDO
itm_no_item_pl|INVALID ITEM
itm_french_cav_pistol|Pistola
itm_french_cav_pistol_pl|Pistola
itm_french_officer_pistol|Pistola
itm_french_officer_pistol_pl|Pistola
itm_french_pistol_1766|Pistola
itm_french_pistol_1766_pl|Pistola
itm_french_pistol_1777|Pistola
itm_french_pistol_1777_pl|Pistola
itm_russian_pistol|Pistola
itm_russian_pistol_pl|Pistola
itm_british_pistol|Pistola
itm_british_pistol_pl|Pistola
itm_french_mousquiton|Carabina de caballería
itm_french_mousquiton_pl|Carabina de caballería
itm_french_mousquiton_melee|Carabina de caballería
itm_french_mousquiton_melee_pl|Carabina de caballería
itm_french_mousquiton_ai|Carabina de caballería
itm_french_mousquiton_ai_pl|Carabina de caballería
itm_french_mousquiton_light|Carabina de caballería
itm_french_mousquiton_light_pl|Carabina de caballería
itm_french_mousquiton_light_melee|Carabina de caballería
itm_french_mousquiton_light_melee_pl|Carabina de caballería
itm_french_mousquiton_light_ai|Carabina de caballería
itm_french_mousquiton_light_ai_pl|Carabina de caballería
itm_french_dragoon_musket|Mosquete de caballería
itm_french_dragoon_musket_pl|Mosquete de caballería
itm_french_dragoon_musket_melee|Mosquete de caballería
itm_french_dragoon_musket_melee_pl|Mosquete de caballería
itm_french_dragoon_musket_ai|Mosquete de caballería
itm_french_dragoon_musket_ai_pl|Mosquete de caballería
itm_russian_dragoon_musket|Mosquete de caballería
itm_russian_dragoon_musket_pl|Mosquete de caballería
itm_russian_dragoon_musket_melee|Mosquete de caballería
itm_russian_dragoon_musket_melee_pl|Mosquete de caballería
itm_russian_dragoon_musket_ai|Mosquete de caballería
itm_russian_dragoon_musket_ai_pl|Mosquete de caballería
itm_russian_cavalry_stutzer_1803|Carabina Corta
itm_russian_cavalry_stutzer_1803_pl|Carabina Corta
itm_russian_gusarskiy_karabin|Mosquetón
itm_russian_gusarskiy_karabin_pl|Mosquetón
itm_russian_gusarskiy_karabin_melee|Mosquetón
itm_russian_gusarskiy_karabin_melee_pl|Mosquetón
itm_russian_gusarskiy_karabin_ai|Mosquetón
itm_russian_gusarskiy_karabin_ai_pl|Mosquetón
itm_british_carbine|Carabina de caballería
itm_british_carbine_pl|Carabina de caballería
itm_british_carbine_melee|Carabina de caballería
itm_british_carbine_melee_pl|Carabina de caballería
itm_british_carbine_ai|Carabina de caballería
itm_british_carbine_ai_pl|Carabina de caballería
itm_russian_rifle_1805|Rifle
itm_russian_rifle_1805_pl|Rifle
itm_russian_rifle_1805_melee|Rifle
itm_russian_rifle_1805_melee_pl|Rifle
itm_british_baker_rifle|Rifle
itm_british_baker_rifle_pl|Rifle
itm_british_baker_rifle_melee|Rifle
itm_british_baker_rifle_melee_pl|Rifle
itm_sniper_rifle|Rifle de Francotirador
itm_sniper_rifle_pl|Rifle de Francotirador
itm_blunderbluss|Trabuco
itm_blunderbluss_pl|Trabuco
itm_french_charleville|Mosquete de infantería
itm_french_charleville_pl|Mosquete de infantería
itm_french_charleville_melee|Mosquete de infantería
itm_french_charleville_melee_pl|Mosquete de infantería
itm_french_versailles|Mosquete de infantería
itm_french_versailles_pl|Mosquete de infantería
itm_french_versailles_melee|Mosquete de infantería
itm_french_versailles_melee_pl|Mosquete de infantería
itm_british_brown_bess|Mosquete de infantería
itm_british_brown_bess_pl|Mosquete de infantería
itm_british_brown_bess_melee|Mosquete de infantería
itm_british_brown_bess_melee_pl|Mosquete de infantería
itm_russian_musket_1808|Mosquete de infantería
itm_russian_musket_1808_pl|Mosquete de infantería
itm_russian_musket_1808_melee|Mosquete de infantería
itm_russian_musket_1808_melee_pl|Mosquete de infantería
itm_austrian_musket|Mosquete de infantería
itm_austrian_musket_pl|Mosquete de infantería
itm_austrian_musket_melee|Mosquete de infantería
itm_austrian_musket_melee_pl|Mosquete de infantería
itm_prussian_potsdam|Mosquete de infantería
itm_prussian_potsdam_pl|Mosquete de infantería
itm_prussian_potsdam_melee|Mosquete de infantería
itm_prussian_potsdam_melee_pl|Mosquete de infantería
itm_prussian_musket_1806|Mosquete de infanter�a
itm_prussian_musket_1806_pl|Mosquete de infanter�a
itm_prussian_musket_1806_melee|Mosquete de infanter�a
itm_prussian_musket_1806_melee_pl|Mosquete de infanter�a
itm_french_art_off_sword|Espada de Oficial de Artillería
itm_french_art_off_sword_pl|Espada de Oficial de Artillería
itm_french_carabineer_sword|Espada de Carabinero
itm_french_carabineer_sword_pl|Espada de Carabinero
itm_french_briquet_garde|Sable Briquet
itm_french_briquet_garde_pl|Sable Briquet
itm_french_light_cav_sabre_garde|Sable de Caballería Ligera
itm_french_light_cav_sabre_garde_pl|Sable de Caballería Ligera
