skl_trade|Comercio
skl_trade_desc|Cada nivel de esta habilidad reduce la penalización de comercio en un 5%%. (Habilidad de grupo)
skl_leadership|Liderar
skl_leadership_desc|Cada punto incrementa el número máximo de tropas que podéis dirigir en 5, aumenta la moral del grupo y reduce los salarios en un 5%%.
skl_prisoner_management|Manejar prisioneros
skl_prisoner_management_desc|Cada nivel de esta habilidad incrementa el número máximo de prisioneros en %d. 
skl_reserved_1| Habilidad reservada 1
skl_reserved_1_desc|Esta es una habilidad reservada
skl_reserved_2| Habilidad reservada 2
skl_reserved_2_desc|Esta es una habilidad reservada
skl_reserved_3| Habilidad reservada  3
skl_reserved_3_desc|Esta es una habilidad reservada
skl_reserved_4| Habilidad reservada 4
skl_reserved_4_desc|Esta es una habilidad reservada
skl_persuasion|Persuadir
skl_persuasion_desc|Esta habilidad ayuda a que la gente acepte vuestro punto de vista.
skl_engineer|Ingeniería
skl_engineer_desc|Esta habilidad os permite construir equipo de asedio y mejorar los feudos. (Habilidad de grupo)
skl_first_aid|Primeros Auxilios
skl_first_aid_desc|Los héroes recuperan un 5%% por nivel de sus puntos de vida perdidos durante una batalla. (Habilidad de grupo)
skl_surgery|Cirugía
skl_surgery_desc|Cada punto de esta habilidad añade una probabilidad de 4%% de que un miembro del grupo que reciba un golpe mortal resulte herido y no muerto. (Habilidad de grupo)
skl_wound_treatment|Tratar Heridas
skl_wound_treatment_desc|La velocidad de curación del grupo se incrementa un 20%% por nivel de habilidad. (Habilidad de grupo)
skl_inventory_management|Administrar el inventario
skl_inventory_management_desc|Incrementa la capacidad del inventario en 6 por nivel de habilidad.
skl_spotting|Otear
skl_spotting_desc|El rango de visión del grupo se incrementa un 10%% por nivel de habilidad. (Habilidad de grupo)
skl_pathfinding|Explorar
skl_pathfinding_desc|La velocidad del grupo en el mapa se incrementa un 3%% por nivel de habilidad. (Habilidad de grupo)
skl_tactics|Táctica
skl_tactics_desc|Cada dos niveles de esta habilidad, se incrementa la ventaja inicial de batalla en 1. (Habilidad de grupo)
skl_tracking|Rastrear
skl_tracking_desc|Se obtiene más información sobre los rastros. (Habilidad de grupo)
skl_trainer|Instruir
skl_trainer_desc|Todos los días cada héroe que tiene esta habilidad agrega experiencia a todo miembro de su grupo cuyo nivel sea inferior al suyo. La experiencia se adquiere del siguiente modo: 0, 4, 10, 16, 23, 30, 38, 46, 55, 65, 80.
skl_reserved_5| Habilidad reservada  5
skl_reserved_5_desc|Esta es una habilidad reservada
skl_reserved_6| Habilidad reservada  6
skl_reserved_6_desc|Esta es una habilidad reservada
skl_reserved_7| Habilidad reservada  7
skl_reserved_7_desc|Esta es una habilidad reservada
skl_reserved_8| Habilidad reservada 8
skl_reserved_8_desc|Esta es una habilidad reservada
skl_looting|Saquear
skl_looting_desc|Esta habilidad incrementa la cantidad obtenida en el saqueo en un 10%% por nivel de habilidad. (Habilidad de grupo)
skl_horse_archery|Disparar desde el caballo
skl_horse_archery_desc|Reduce la penalización de daño y puntería por disparar y lanzar armas arrojadizas desde el caballo, así como la frecuencia con la que os caéis de la silla.
skl_riding|Cabalgar
skl_riding_desc|Permite montar caballos de mayor nivel de dificultad e incrementa vuestra velocidad y maniobrabilidad.
skl_athletics|Atletismo
skl_athletics_desc|Incrementa vuestra velocidad al correr.
skl_shield|Escudo
skl_shield_desc|Reduce el daño provocado a los escudos (en un 8%% por nivel de habilidad) y mejora la velocidad al escudarse y cubrirse.
skl_weapon_master|Maestría en Armas
skl_weapon_master_desc|Facilita el aprendizaje del manejo de las armas e incrementa los límites de estas competencias. Los límites son: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420.
skl_reserved_9| Habilidad reservada 9
skl_reserved_9_desc|Esta es una habilidad reservada
skl_reserved_10| Habilidad reservada 10 
skl_reserved_10_desc|Esta es una habilidad reservada
skl_reserved_11| Habilidad reservada 11
skl_reserved_11_desc|Esta es una habilidad reservada
skl_reserved_12| Habilidad reservada 12 
skl_reserved_12_desc|Esta es una habilidad reservada
skl_reserved_13| Habilidad reservada 13 
skl_reserved_13_desc|Esta es una habilidad reservada
skl_power_draw|Potencia de tensado
skl_power_draw_desc|Os permite utilizar mejores arcos. Cada punto de esta habilidad (hasta cuatro puntos, más los requisitos de potencia de tensado del arco) incrementa el daño infligido por los arcos en un 14%%.
skl_power_throw|Lanzar granadas
skl_power_throw_desc|Con cada punto de esta habilidad se incrementa el daño de lanzamiento en un 10%%, y el radio de daño en un paso cada dos niveles.
skl_power_strike|Potencia de golpe
skl_power_strike_desc|Cada punto de esta habilidad aumenta el daño en el cuerpo a cuerpo en un 8%%.
skl_ironflesh|Piel de hierro
skl_ironflesh_desc|Cada punto de esta habilidad añade 2 puntos a los puntos de daño. 
skl_reserved_14| Habilidad reservada 14  
skl_reserved_14_desc|Esta es una habilidad reservada
skl_reserved_15| Habilidad reservada 15
skl_reserved_15_desc|Esta es una habilidad reservada
skl_reserved_16| Habilidad reservada 16
skl_reserved_16_desc|Esta es una habilidad reservada
skl_reserved_17| Habilidad reservada 17 
skl_reserved_17_desc|Esta es una habilidad reservada
skl_reserved_18| Habilidad reservada 18 
skl_reserved_18_desc|TEsta es una habilidad reservada
