fac_no_faction|Pas de faction
fac_commoners|Hommes du peuple
fac_outlaws|Hors-la-loi
fac_neutral|Neutre
fac_player_faction|Faction du Joueur
fac_player_supporters_faction|Soutiens du joueur
fac_britain|Royaume uni
fac_france|Empire français
fac_prussia|Royaume de Prusse
fac_russia|Empire de Russie
fac_austria|Empire d'Autriche
fac_rhine|Confédération du Rhin
fac_kingdom_7|Faction invalide
fac_kingdom_8|Faction invalide
fac_kingdom_9|Faction invalide
fac_kingdom_10|Faction invalide
fac_british_ranks|Autres rangs britanniques.
fac_french_ranks|Autres rangs français
fac_prussian_ranks|Autres rangs prussiens
fac_russian_ranks|Autres rangs russes
fac_austrian_ranks|Autres rangs autrichiens
fac_rhine_ranks|Autres rangs rhéniens
