str_no_string|STRING MANQUANT !
str_empty_string| 
str_yes|Oui.
str_no|Non.
str_blank_string| 
str_s50_and_s51|{s50} et {s51}
str_s52_and_s51|{s52} et {s51}
str_msg_battle_won|La bataille est gagnée ! Pressez Tab pour quitter...
str_charge|Charger
str_color|Couleur
str_hold_fire|Maintenez le feu
str_blunt_hold_fire|Cessez / Maintenez le feu
str_finished|(Fini)
str_delivered_damage|Fait {reg60} dégâts.
str_archery_target_hit|Distance: {reg61} mètres. Score: {reg60}
str_cant_use_inventory_now|Inventaire actuellement inaccessible.
str_give_up_fight|Abandonner le combat ?
str_battle_won|Vous avez gagné la bataille !
str_battle_lost|Vous avez perdu la bataille !
str_kingdom_1_adjective|Royaume-Uni
str_kingdom_2_adjective|Empire Francais
str_kingdom_3_adjective|Empire de Prusse
str_kingdom_4_adjective|Empire de Russie
str_kingdom_5_adjective|Autriche
str_kingdom_6_adjective|Sarranides
str_credits_1|Mount&Blade Warband: Napoleonic Wars Copyright 2008-2012 Taleworlds Entertainment
str_credits_2|Flying Squirrel Entertainment
str_credits_3|Game design:^Maxim 'Vincenzo' Munnig Schmidt^Magnus 'Beaver' Adolfsson^Nico 'Olafson' Kamps^Vladimir 'Admiral' Nazarenko
str_credits_4|Programmation:^Maxim Munnig Schmidt^Magnus Adolfsson
str_credits_5|Artistes:^Nico Kamps^Vladimir Nazarenko
str_credits_6|Taleworlds Entertainment
str_credits_7|Fondateur/PDG:^Armagan Yavuz
str_credits_8|Programmateur en chef:^Cem Cimenbicer^Serdar Kocdemir^^Programmeurs:^Ozan Gumus^Mustafa Onder^Abdullah Gorkem Gencay
str_credits_9|Artiste en chef:^Ozgur Saral^^Artistes:^Mustafa Ozturk^Umit Singil^Yigit Savtur^Pinar Cekic^Gokalp Dogan^Oguz Tunceli
str_credits_10|Concept Art:^Ganbat Badamkhand
str_credits_11|Directeur de la communication:^Ali Erkin
