str_no_string|스트링 없음!
str_empty_string|" "
str_yes|예.
str_no|아니오.
str_blank_string|" "
str_s50_and_s51|{s50} 그리고 {s51}
str_s52_and_s51|{s52} 그리고 {s51}
str_msg_battle_won|전투에서 승리했습니다! 나가려면 Tab 키를 누르십시오...
str_charge|돌격
str_color|색상
str_hold_fire|사격 중지
str_blunt_hold_fire|둔기 / 사격 중지
str_finished|(완료)
str_delivered_damage|{reg60} 만큼의 데미지 전달.
str_archery_target_hit|거리: {reg61} 미터.  점수: {reg60}
str_cant_use_inventory_now|지금은 인벤토리를 열 수 없습니다.
str_give_up_fight|싸움을 포기하시겠습니까?
str_battle_won|당신은 전투에서 승리하였습니다!
str_battle_lost|당신은 전투에서 패배하였습니다!
str_kingdom_1_adjective|대영제국
str_kingdom_2_adjective|프랑스 제국
str_kingdom_3_adjective|프로이센 왕국
str_kingdom_4_adjective|러시아 제국
str_kingdom_5_adjective|오스트리아 제국
str_kingdom_6_adjective|라인 동맹
str_credits_1|Mount&Blade Warband: Napoleonic Wars Copyright 2008-2012 Taleworlds Entertainment
str_credits_2|Flying Squirrel Entertainment
str_credits_3|게임 디자인:^Maxim 'Vincenzo' Munnig Schmidt^Magnus 'Beaver' Adolfsson^Nico 'Olafson' Kamps^Vladimir 'Admiral' Nazarenko
str_credits_4|프로그래밍:^Maxim Munnig Schmidt^Magnus Adolfsson
str_credits_5|아티스트:^Nico Kamps^Vladimir Nazarenko
str_credits_6|Taleworlds Entertainment
str_credits_7|창립자/CEO:^Armagan Yavuz
str_credits_8|리드 프로그래밍:^Cem Cimenbicer^Serdar Kocdemir^^Programmers:^Ozan Gumus^Mustafa Onder^Abdullah Gorkem Gencay
str_credits_9|리드 아티스트:^Ozgur Saral^^Artists:^Mustafa Ozturk^Umit Singil^Yigit Savtur^Pinar Cekic^Gokalp Dogan^Oguz Tunceli
str_credits_10|컨셉 아트:^Ganbat Badamkhand
str_credits_11|통신 담당:^Ali Erkin
