ui_music_volume|음악 볼륨:
ui_sound_volume|소리 볼륨:
ui_mouse_sensitivity|마우스 감도:
ui_invert_mouse_y_axis|마우스 Y 축 반전
ui_enabled|사용 가능
ui_disabled|사용 불가능
ui_damage_to_player|플레이어가 입는 데미지:
ui_reduced_to_1_over_4_easiest|1/4 로 감소 (가장 쉬움)
ui_reduced_to_1_over_2_easy|1/2로 감소 (쉬움)
ui_damage_to_friends|아군이 입는 데미지:
ui_reduced_to_1_over_2_easiest|1/2 로 감소 (가장 쉬움)
ui_reduced_to_3_over_4_easy|3/4 로 감소 (쉬움)
ui_normal|보통
ui_combat_ai|전투 인공 지능:
ui_combat_speed|전투 속도:
ui_good|좋음
ui_average_caps|평균
ui_poor|형편없음
ui_faster|빠름
ui_slower|느림
ui_control_block_direction|방어 방향 컨트롤:
ui_automatic_recommended|자동
ui_manual_easy|수동 (쉬움)
ui_manual_hard|수동 (어려움)
ui_by_mouse_movement|마우스 움직임에 의해
ui_control_attack_direction|공격 방향 컨트롤:
ui_lance_control|랜스 조작:
ui_by_relative_enemy_position|적군 위치에 따라
ui_by_inverse_mouse_movement|마우스 이동 방향 반전
ui_battle_size|전투 규모:
ui_show_attack_direction|공격 방향 표시
ui_show_targeting_reticule|조준선 보이기
ui_show_names_of_friendly_troops|아군 배너 보이기
ui_report_damage|데미지 보고
ui_report_shot_difficulty|명중 난이도 보고
ui_difficulty_rating_percentage|현재 난이도 = %d%%
ui_controls|조작
ui_video_options|비디오 옵션
ui_done|완료
ui_factions|국가
ui_item_itemname|Item - %s
ui_prop_propname|Prop - %s
ui_unknown_unknownname|Unknown - %s
ui_entry_point_entrypointname|Entry Point %d
ui_passage_menu_item_passagename|Passage (menu item %d)
ui_plant_plantname|Plant - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|캐릭터 %s 의 내보내기 파일이 이미 존재합니다. 덮어씌우시겠습니까?
ui_yes|예
ui_no|아니오
ui_set_save_file_name|본 저장 항목의 제목을 입력하십시오:
ui_enter_new_name|새로운 이름을 입력하십시오:
ui_export_character|캐릭터 내보내기
ui_import_character|캐릭터 불러오기
ui_character_playername_exported_successfully|%s 의 캐릭터 파일을 성공적으로 내보냄.
ui_character_playername_imported_successfully|%s 의 캐릭터 파일을 성공적으로 불러옴.
ui_unable_to_open_import_file|파일 불러오기 불가능.
ui_are_you_sure_you_want_to_import_the_character|정말로 해당 캐릭터를 불러오시겠습니까?
ui_unable_to_find_character_import_file|불러올 캐릭터 파일 찾기 불가능.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|현재 마운트&블레이드를 데모 버전으로 플레이 중입니다. 캐릭터를 불러오려면 게임을 구매하십시오.
ui_change_skin|피부
ui_change_hair|머리카락
ui_change_hair_color|머리카락 색상
ui_change_beard|수염
ui_tutorial|튜토리얼
ui_tutorial_face_generator|버튼 및 슬라이드를 이용해 당신의 캐릭터 얼굴을 조정하십시오. 머리를 마우스로 클릭하여 이동하면 회전이 가능합니다.
ui_restore|불러오기
ui_cancel|취소
ui_delete|삭제
ui_confirm_delete_game|정말로 해당 게임을 삭제하시겠습니까?
ui_error_removing_file|파일 삭제 오류...
ui_day_datedisplay|Day %d (%d:%d%d)
ui_reset_changes|변경 사항 초기화
ui_weapon_proficiencies|숙련도
ui_skills|스킬
ui_attributes|속성
ui_enter_name_here|*여기에 이름 입력*
ui_edit_face|클릭하여 얼굴 편집
ui_statistics|통계
ui_next|다음
ui_prev|이전
ui_learn|습득
ui_question_saving_policy|게임 저장 방식을 고르십시오
ui_saving_policy_realistic|사실적, 저장 없이 종료 불가능
ui_saving_policy_nonrealistic|저장 없이 종료 가능
ui_tutorial_character_generation|이제 당신의 이름을 입력한 다음 속성, 스킬과 무기 숙련도를 분배하십시오. 해당 요소를 클릭하면 그와 관련된 특징을 알아보실 수 있습니다.
ui_str|힘
ui_agi|민첩
ui_int|지능
ui_cha|카리스마
ui_at_learning_limit|(제한치 도달)
ui_not_enough_skill_points_to_learn|(스킬 포인트 부족)
ui_strength|힘
ui_agility|민첩도
ui_intelligence|지능
ui_charisma|카리스마
ui_not_enough_attributetype_to_learn_this_skill|(%s 의 부족으로 해당 스킬 습득 불가능)
ui_explanation_one_handed_weapon|한손 무기와 도끼, 그리고 둔기의 사용을 보완.
ui_explanation_two_handed_weapon|양손 무기와 큰 도끼, 그리고 큰 망치의 사용을 보완.
ui_explanation_polearm|창",랜스,"봉과 같은 폴암의 사용을 보완.
ui_explanation_archery|활의 사용을 보완.
ui_explanation_crossbow|쇠뇌의 사용을 보완.
ui_explanation_throwing|재블린",다트,"돌 등 투척 무기의 사용을 보완.
ui_explanation_firearms|권총과 머스킷의 사용을 보완.
ui_explanation_strength|힘: 매 포인트마다 체력이 +1 씩 증가합니다. 다음과 같은 스킬들은 힘 포인트의 1/3 이상으로 향상될 수 없습니다: 단단한 피부",타격력,투척력,"궁력.
ui_explanation_agility|민첩성: 매 포인트마다 무기 숙련도 5와 약간의 이동 속도 향상이 부여됩니다. 다음과 같은 스킬들은 민첩 포인트의 1/3 이상으로 향상될 수 없습니다: 무기의 대가",방패,운동신경,승마술,기마궁술,"약탈.
ui_explanation_intelligence|지능: 매 포인트마다 스킬 포인트가 1씩 증가합니다. 다음과 같은 스킬들은 지능 포인트의 1/3 이상으로 향상될 수 없습니다: 훈련교관",추적술,전술,길잡이,정찰,소지품 관리,상처 치료,의술,응급 처치,공학,"설득력.
ui_explanation_charisma|지능: 매 포인트마다 수용 가능 부대 인원이 +1 씩 증가합니다. 다음과 같은 스킬들은 카리스마 포인트의 1/3 이상으로 향상될 수 없습니다: 포로 관리",리더쉽,"무역.
ui_level|레벨: %d
ui_xp|경험치: %d
ui_next_level_at|다음 레벨까지: %d
ui_health_player|체력: %d/%d
ui_health|체력: %d
ui_attribute_points|속성 포인트: %d
ui_skill_points|스킬 포인트: %d
ui_weapon_points|무기 숙련도 포인트: %d
ui_mission_losses_none| 없음.
ui_mission_losses_wounded|부상 :
ui_mission_losses_killed|사망 :
ui_party_losses|%s "%d 부상 --- %d 중 %d 사망.
ui_casualties_sustained|누적된 사상자:
ui_advantage_change|유리한 요소 변경 = %c%d 
ui_overall_battle_casualties|전상자 총합:
ui_advantage_outnumbered| 당신은 숫적으로 완전히 압도 당했습니다.
ui_advantage_major_disadvantage| 당신이 전투에서 상당히 불리합니다.
ui_advantage_slight_disadvantage| 당신이 전투에서 약간 불리합니다.
ui_advantage_balanced| 전세가 동등합니다.
ui_advantage_fair_advantage| 당신이 전투에서 상당히 유리합니다.
ui_advantage_greatly_favored| 당신에게 전투의 승산이 있어 보입니다.
ui_tactical_advantage|전술의 유리함: %d(%s)
ui_order_group|지휘할 그룹:
ui_question_save_changes|맵의 구성 요소가 변경되었습니다. 변경 사항을 저장하시겠습니까?
ui_yes_save|예, 저장합니다
ui_no_discard_changes|아니오, 저장 없이 종료
