ui_texture_detail|텍스쳐 품질:
ui_max_frame_rate|최대 프레임 비율:
ui_enable_bumpmap|범프 매핑 사용
ui_disable_blood|혈흔 숨기기
ui_disable_music|음악 음소거
ui_disable_sound|사운드 음소거
ui_enable_cheats|치트 비활성화
ui_enable_edit_mode|편집 모드 활성화 (게임 속도가 느려짐.)
ui_enable_pixel_shaders|픽셀 셰이더 사용
ui_enable_sound_variation|사운드 음정 무작위 활성화
ui_enable_vertex_shaders|렌더링 방식:
ui_shadow_quality|그림자 품질:
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|프레임 비율 표시
ui_start_windowed|창 모드로 실행
ui_trialmode_caption|정품 인증
ui_trialmode|마운트&블레이드 워밴드의 정품 인증을 거치기 위해 당신에게 제공된 제품 키를 준비해 주십시오. 제품 키는 16개의 고유한 번호로 이뤄져 있으며 구매하신 제품 박스에 동봉되어 있습니다.\n정품 인증을 거치지 않더라도 계속 플레이가 가능하지만, 레벨 8 이후로는 플레이하실 수 없습니다.
ui_launch_buy|TaleWorlds.com 를 방문하여 라이센스를 구입하십시오
ui_launch_faq|정품인증 관련 자주 묻는 질문
ui_trialmode2|지금 게임을 활성화하기 위해서는...
ui_trialmode3|또는...
ui_trialmode4|만약 정품 인증 절차에 대해 궁금한 사항이 있으시다면, 다음 사항을 참조해 주십시오...
ui_serial_key_caption|제품 키
ui_notification_serial_input|아래에 제품 키를 입력해 주십시오 (복사&붙여넣기 가능) 그리고 활성화 버튼을 눌러 주십시오.
ui_notification_serial_input_vc|해당 모듈은 바이킹 컨퀘스트 제품 키를 필요로 합니다. 아래에 바이킹 컨퀘스트 제품 키를 입력해 주십시오 (복사&붙여넣기 가능) 그리고 활성화 버튼을 눌러 주십시오.
ui_activate|정품 인증
ui_paste|붙여넣기
ui_notification_serial_internet_connection|정품 인증을 하려면 인터넷에 연결되어 있어야 합니다!
ui_notification_serial_offline|만약 본 컴퓨터가 인터넷 접속이 불가능하다면 다음 방법을 시도해 보십시오:
