fac_no_faction|Bez Frakcji
fac_commoners|Cywile
fac_outlaws|Bandyci
fac_neutral|Neutralna
fac_player_faction|Frakcja gracza
fac_player_supporters_faction|Wsparcie gracza
fac_britain|United Kingdom
fac_france|Empire Français
fac_prussia|Königreich Preußen
fac_russia|Rossiyskaya Imperiya
fac_austria|Kaisertum Österreich
fac_rhine|Rheinbund
fac_kingdom_7|Nieprawidłowa frakcja
fac_kingdom_8|Nieprawidłowa frakcja
fac_kingdom_9|Nieprawidłowa frakcja
fac_kingdom_10|Nieprawidłowa frakcja
fac_british_ranks|Brytyjska (inna)
fac_french_ranks|Francuska (inna)
fac_prussian_ranks|Pruska (inna)
fac_russian_ranks|Rosyjska (inna)
fac_austrian_ranks|Austryjacka (inna)
fac_rhine_ranks|Reńska (inna)
