str_no_string|BRAK WIERSZA!
str_empty_string| 
str_yes|Tak
str_no|Nie
str_blank_string| 
str_s50_and_s51|{s50} i {s51}
str_s52_and_s51|{s52} i {s51}
str_msg_battle_won|Zwycięstwo! Naciśnij klawisz TAB, aby wyjść...
str_charge|Atakować
str_color|Sztandar
str_hold_fire|Wstrzymać ogień
str_blunt_hold_fire|Obuchowe / Wstrzymać ogień
str_finished|(Ukończono)
str_delivered_damage|Zadano {reg60} pkt. obrażeń.
str_archery_target_hit|Odległość: {reg61} m. Punkty: {reg60}
str_cant_use_inventory_now|Dostęp do ekwipunku jest obecnie niemożliwy.
str_give_up_fight|Poddać walkę?
str_battle_won|Wygrywasz bitwę!
str_battle_lost|Przegrywasz bitwę!
str_kingdom_1_adjective|Wielka Brytania
str_kingdom_2_adjective|Cesarstwo Francuskie
str_kingdom_3_adjective|Królestwo Pruskie
str_kingdom_4_adjective|Cesarstwo Rosyjskie
str_kingdom_5_adjective|Cesarstwo Austriackie
str_kingdom_6_adjective|Związek Reński
str_credits_15|---
str_mp_ambush|Zasadzka (dzień)
str_mp_ambush_fog|Zasadzka (mgła)
str_mp_arabian_harbour|Arabskie nabrzeże (dzień)
str_mp_arabian_harbour_night|Arabskie nabrzeże (noc)
str_mp_arabian_village|Arabska wioska (dzień)
str_mp_arabian_village_morning|Arabska wioska (poranek)
str_mp_arabian_village_conq|Arabskie miasto (dzień)
str_mp_arabian_village_conq_morning|Arabskie miasto (poranek)
str_mp_ardennes|Ardeny (śnieg)
str_mp_ardennes_morning|Ardeny (poranek)
str_mp_avignon|Avignon (dzień)
str_mp_avignon_morning|Avignon (zachmurzenie)
str_mp_bavarian_river|Bawarska rzeka (dzień)
str_mp_bavarian_river_cloudy|Bawarska rzeka (zachmurzenie)
str_mp_beach|Plaża (dzień)
str_mp_beach_morning|Plaża (poranek)
str_mp_borodino|Borodino (dzień)
str_mp_borodino_morn|Borodino (poranek)
str_mp_champs_elysees|Pola elizejskie (dzień)
str_mp_champs_elysees_rain|Pola elizejskie (deszcz)
str_mp_charge_to_the_rhine|Najazd na Rhine (dzień)
str_mp_charge_to_the_rhine_cloudy|Najazd na Rhine (zachmurzenie)
str_mp_citadelle_napoleon|Citadelle Napoleon (dzień)
str_mp_citadelle_napoleon_morning|Citadelle Napoleon (poranek)
str_mp_columbia_hill_farm|Kolumbijska farma (dzień)
str_mp_columbia_farm_morning|Kolumbijska farma (poranek)
str_mp_countryside|Tereny rolnicze (dzień/deszcz)
str_mp_countryside_fog|Bezdroża (mgła)
str_mp_dust|Bezdroża (dzień)
str_mp_dust_morning|Bezdroża (poranek)
str_mp_european_city_summer|Europejskie miasto (lato)
str_mp_european_city_winter|Europejskie miasto (zima)
str_mp_floodplain|Żuławy (dzień)
str_mp_floodplain_storm|Żuławy (ulewa)
str_mp_forest_pallisade|Leśna palisada (dzień)
str_mp_forest_pallisade_fog|Leśna palisada (mgła)
str_mp_fort_al_hafya|Fort Al Hafya (dzień)
str_mp_fort_al_hafya_night|Fort Al Hafya (noc)
str_mp_fort_bashir|Fort Bashir (dzień)
str_mp_fort_bashir_morning|Fort Bashir (poranek)
str_mp_fort_beaver|Fort Fausbourg (dzień)
str_mp_fort_beaver_morning|Fort Fausbourg (poranek)
str_mp_fort_boyd|Fort Boyd (dzień)
str_mp_fort_boyd_raining|Fort Boyd (deszcz)
str_mp_fort_brochet|Fort Brochet (dzień)
str_mp_fort_brochet_raining|Fort Brochet (deszcz)
str_mp_fort_de_chartres|Fort de Chartres (dzień)
str_mp_fort_de_chartres_raining|Fort de Chartres (deszcz)
str_mp_fort_fleetwood|Fort Fleetwood (poranek)
str_mp_fort_fleetwood_storm|Fort Fleetwood (ulewa)
str_mp_fort_george|Fort George (dzień)
str_mp_fort_george_raining|Fort George (deszcz)
str_mp_fort_hohenfels|Fort Hohenfels (dzień)
str_mp_fort_hohenfels_night|Fort Hohenfels (noc)
str_mp_fort_lyon|Fort Lyon (dzień)
str_mp_fort_lyon_night|Fort Lyon (noc)
str_mp_fort_mackinaw|Fort Mackinaw (dzień)
str_mp_fort_mackinaw_raining|Fort Mackinaw (deszcz)
str_mp_fort_nylas|Fort Nylas (dzień)
str_mp_fort_nylas_raining|Fort Nylas (deszcz)
str_mp_fort_refleax|Fort Willsbridge (dzień)
str_mp_fort_refleax_night|Fort Willsbridge (noc)
str_mp_fort_vincey|Fort Whittington (dzień)
str_mp_fort_vincey_storm|Fort Whittington (ulewa)
str_mp_french_farm|Francuska farma (dzień)
str_mp_french_farm_storm|Francuska farma (burza)
str_mp_german_village|Niemiecka wioska (poranek)
str_mp_german_village_rain|Niemiecka wioska (burza)
str_mp_hougoumont|Hougoumont (dzień)
str_mp_hougoumont_night|Hougoumont (noc)
str_mp_hungarian_plains|Węgierskie równiny (dzień)
str_mp_hungarian_plains_cloud|Węgierskie równiny (zachmurzenie)
str_mp_theisland|Wyspa (dzień)
str_mp_la_haye_sainte|La Haye Sainte (dzień)
str_mp_la_haye_sainte_night|La Haye Sainte (noc)
str_mp_landshut|Landshut (dzień)
str_mp_landshut_night|Landshut (noc)
str_mp_minden|Minden (dzień)
str_mp_minden_night|Minden (poranek)
str_mp_naval|Bitwa morska (dzień)
str_mp_oaksfield_day|Oaksfield (dzień)
str_mp_oaksfield_storm|Oaksfield (ulewa)
str_mp_outlaws_den|Kryjówka banitów (dzień)
str_mp_outlaws_den_night|Kryjówka banitów (noc)
str_mp_quatre_bras|Quatre Bras (dzień)
str_mp_quatre_bras_night|Quatre Bras (noc)
str_mp_river_crossing|Przeprawa przez rzekę (dzień)
str_mp_river_crossing_morning|Przeprawa przez rzekę (poranek)
str_mp_roxburgh|Roxburgh (dzień)
str_mp_roxburgh_raining|Roxburgh (deszcz)
str_mp_russian_river_day|Rosyjska rzeka (dzień)
str_mp_russian_river_cloudy|Rosyjska rzeka (deszcz)
str_mp_russian_village|Rosyjska wioska (śnieg)
str_mp_russian_village_fog|Rosyjska wioska (mgła)
str_mp_russian_village_conq|Rosyjskie miasto (mgła)
str_mp_russian_village_conq_night|Rosyjskie miasto (noc)
str_mp_saints_isle|Saint's Isle (dzień)
str_mp_saints_isle_rain|Saint's Isle (deszcz)
str_mp_schemmerbach|Schemmerbach (dzień)
str_mp_schemmerbach_storm|Schemmerbach (ulewa)
str_mp_siege_of_toulon|Oblężenie Tulonu (dzień)
str_mp_siege_of_toulon_night|Oblężenie Tulonu (noc)
str_mp_sjotofta|Sjotofta (dzień)
str_mp_sjotofta_night|Sjotofta (noc)
str_mp_slovenian_village|Słowiańska wioska (dzień)
str_mp_slovenian_village_raining|Słowiańska wioska (deszcz)
str_mp_spanish_farm|Hiszpańska farma (dzień)
str_mp_spanish_farm_rain|Hiszpańska farma (deszcz)
str_mp_spanish_mountain_pass|Hiszpańska kotlina (dzień)
str_mp_spanish_mountain_pass_evening|Hiszpańska kotlina (wieczór)
str_mp_spanish_village|Hiszpańska wioska (dzień)
str_mp_spanish_village_evening|Hiszpańska wioska (wieczór)
str_mp_strangefields|Pola (mgła)
str_mp_strangefields_storm|Pola (ulewa)
str_mp_swamp|Bagna Siegburger (mgła)
str_mp_venice|Wenecja (dzień)
str_mp_venice_morning|Wenecja (poranek)
str_mp_walloon_farm|Walońska farma (dzień)
str_mp_walloon_farm_night|Walońska farma (noc)
str_mp_testing_map|Mapa testowa
str_random_multi_plain_medium|Równiny
str_random_multi_plain_large|Rozległe równiny
str_random_multi_plain_medium_rain|Równiny (deszcz)
str_random_multi_plain_large_rain|Rozległe równiny (deszcz)
str_random_multi_steppe_medium|Stepy
str_random_multi_steppe_large|Rozległe stepy
str_random_multi_steppe_forest_medium|Stepy (zalesienie)
str_random_multi_steppe_forest_large|Rozległe stepy (zalesienie)
str_random_multi_snow_medium|Tereny zimowe
str_random_multi_snow_medium_snow|Tereny zimowe (śnieg)
str_random_multi_snow_large|Rozległe tereny zimowe
str_random_multi_snow_large_snow|Rozległe tereny zimowe (śnieg)
str_random_multi_snow_forest_medium|Zimowe lasy
str_random_multi_snow_forest_medium_snow|Zimowe lasy (śnieg)
str_random_multi_snow_forest_large|Rozległe zimowe lasy
str_random_multi_snow_forest_large_snow|Rozległe zimowe lasy (śnieg)
str_random_multi_desert_medium|Tereny pustynne
str_random_multi_desert_large|Rozległe tereny pustynne
str_random_multi_desert_forest_medium|Tereny pustynne (porośnięte)
str_random_multi_desert_forest_large|Rozległe tereny pustynne (porośnięte)
str_random_multi_forest_medium|Lasy
str_random_multi_forest_medium_rain|Lasy (deszcz)
str_random_multi_forest_large|Rozległe lasy
str_random_multi_forest_large_rain|Rozległe lasy (deszcz)
str_mp_custom_map_1|własna mapa 1
str_mp_custom_map_2|własna mapa 2
str_mp_custom_map_3|własna mapa 3
str_mp_custom_map_4|własna mapa 4
str_mp_custom_map_5|własna mapa 5
str_mp_custom_map_6|własna mapa 6
str_mp_custom_map_7|własna mapa 7
str_mp_custom_map_8|własna mapa 8
str_mp_custom_map_9|własna mapa 9
str_mp_custom_map_10|własna mapa 10
str_mp_custom_map_11|własna mapa 11
str_mp_custom_map_12|własna mapa 12
str_mp_custom_map_13|własna mapa 13
str_mp_custom_map_14|własna mapa 14
str_mp_custom_map_15|własna mapa 15
str_mp_custom_map_16|własna mapa 16
str_mp_custom_map_17|własna mapa 17
str_mp_custom_map_18|własna mapa 18
str_mp_custom_map_19|własna mapa 19
str_mp_custom_map_20|własna mapa 20
str_mp_custom_map_21|własna mapa 21
str_mp_custom_map_22|własna mapa 22
str_mp_custom_map_23|własna mapa 23
str_mp_custom_map_24|własna mapa 24
str_mp_custom_map_25|własna mapa 25
str_mp_custom_map_26|własna mapa 26
str_mp_custom_map_27|własna mapa 27
str_mp_custom_map_28|własna mapa 28
str_mp_custom_map_29|własna mapa 29
str_mp_custom_map_30|własna mapa 30
str_mp_custom_map_31|własna mapa 31
str_mp_custom_map_32|własna mapa 32
str_mp_custom_map_33|własna mapa 33
str_mp_custom_map_34|własna mapa 34
str_mp_custom_map_35|własna mapa 35
str_mp_custom_map_36|własna mapa 36
str_mp_custom_map_37|własna mapa 37
str_mp_custom_map_38|własna mapa 38
str_mp_custom_map_39|własna mapa 39
str_mp_custom_map_40|własna mapa 40
str_mp_custom_map_41|własna mapa 41
str_mp_custom_map_42|własna mapa 42
str_mp_custom_map_43|własna mapa 43
str_mp_custom_map_44|własna mapa 44
str_mp_custom_map_45|własna mapa 45
str_mp_custom_map_46|własna mapa 46
str_mp_custom_map_47|własna mapa 47
str_mp_custom_map_48|własna mapa 48
str_mp_custom_map_49|własna mapa 49
str_mp_custom_map_50|własna mapa 50
str_mp_custom_map_51|własna mapa 51
str_mp_custom_map_52|własna mapa 52
str_mp_custom_map_53|własna mapa 53
str_mp_custom_map_54|własna mapa 54
str_mp_custom_map_55|własna mapa 55
str_mp_custom_map_56|własna mapa 56
str_mp_custom_map_57|własna mapa 57
str_mp_custom_map_58|własna mapa 58
str_mp_custom_map_59|własna mapa 59
str_mp_custom_map_60|własna mapa 60
str_mp_custom_map_61|własna mapa 61
str_mp_custom_map_62|własna mapa 62
str_mp_custom_map_63|własna mapa 63
str_mp_custom_map_64|własna mapa 64
str_mp_custom_map_65|własna mapa 65
str_mp_custom_map_66|własna mapa 66
str_mp_custom_map_67|własna mapa 67
str_mp_custom_map_68|własna mapa 68
str_mp_custom_map_69|własna mapa 69
str_mp_custom_map_70|własna mapa 70
str_mp_custom_map_71|własna mapa 71
str_mp_custom_map_72|własna mapa 72
str_mp_custom_map_73|własna mapa 73
str_mp_custom_map_74|własna mapa 74
str_mp_custom_map_75|własna mapa 75
str_mp_custom_map_76|własna mapa 76
str_mp_custom_map_77|własna mapa 77
str_mp_custom_map_78|własna mapa 78
str_mp_custom_map_79|własna mapa 79
str_mp_custom_map_80|własna mapa 80
str_mp_custom_map_81|własna mapa 81
str_mp_custom_map_82|własna mapa 82
str_mp_custom_map_83|własna mapa 83
str_mp_custom_map_84|własna mapa 84
str_mp_custom_map_85|własna mapa 85
str_mp_custom_map_86|własna mapa 86
str_mp_custom_map_87|własna mapa 87
str_mp_custom_map_88|własna mapa 88
