fac_no_faction|No Faction
fac_commoners|Commoners
fac_outlaws|Outlaws
fac_neutral|Neutral
fac_player_faction|Player Faction
fac_player_supporters_faction|Player's Supporters
fac_britain|Британская империя
fac_france|Первая Французская империя
fac_prussia|Королевство Пруссия
fac_russia|Российская империя
fac_austria|Австрийская империя
fac_rhine|Рейнский союз
fac_kingdom_7|Invalid Faction
fac_kingdom_8|Invalid Faction
fac_kingdom_9|Invalid Faction
fac_kingdom_10|Invalid Faction
fac_british_ranks|British Other Ranks
fac_french_ranks|French Other Ranks
fac_prussian_ranks|Prussian Other Ranks
fac_russian_ranks|Russian Other Ranks
fac_austrian_ranks|Austrian Other Ranks
fac_rhine_ranks|Rhenish Other Ranks
