str_no_string|НЕТ СТРОКИ
str_empty_string| 
str_yes|Да.
str_no|Нет.
str_blank_string| 
str_s50_and_s51|{s50} and {s51}
str_s52_and_s51|{s52} and {s51}
str_msg_battle_won|Победа за Вами! Нажмите Tab для выхода.
str_charge|В атаку!
str_color|Color
str_hold_fire|Не стрелять!
str_blunt_hold_fire|Холодное оружие/Не стрелять!
str_finished|(Окончено)
str_delivered_damage|Нанесено {reg60} очков повреждения.
str_archery_target_hit|Дистанция: {reg61} метров. Счет: {reg60}
str_cant_use_inventory_now|На данный момент у Вас нет доступа к инвентарю.
str_give_up_fight|Бежать с поля боя?
str_battle_won|Вы выиграли сражение!
str_battle_lost|Вы проиграли сражение!
str_kingdom_1_adjective|Британская империя
str_kingdom_2_adjective|Первая Французская империя
str_kingdom_3_adjective|Королевство Пруссия
str_kingdom_4_adjective|Российская империя
str_kingdom_5_adjective|Австрийская империя
str_kingdom_6_adjective|Сарраниды
str_credits_15|Unused
str_mp_ambush|засада (День)
str_mp_ambush_fog|засада (туман)
str_mp_arabian_harbour|Арабская бухта (День)
str_mp_arabian_harbour_night|Арабская бухта (Ночь)
str_mp_arabian_village|Арабское поселение (День)
str_mp_arabian_village_morning|Арабское поселение (Утро)
str_mp_arabian_village_conq|Арабское поселение (День)
str_mp_arabian_village_conq_morning|Арабское поселение (Утро)
str_mp_ardennes|Арденны (Снег)
str_mp_ardennes_morning|Арденны (Утро)
str_mp_avignon|Авиньон (День)
str_mp_avignon_morning|Авиньон (Утро)
str_mp_bavarian_river|Река в Баварии (День)
str_mp_bavarian_river_cloudy|Река в Баварии (облачный)
str_mp_beach|Пляж (День)
str_mp_beach_morning|Пляж (Утро)
str_mp_borodino|Бородино
str_mp_borodino_morn|Бородино (Утро)
str_mp_champs_elysees|Елисейские поля
str_mp_champs_elysees_rain|Елисейские поля (Дождь)
str_mp_charge_to_the_rhine|Наступление на Рейн (День)
str_mp_charge_to_the_rhine_cloudy|Наступление на Рейн (облачный)
str_mp_citadelle_napoleon|Цитадель Наполео (День)
str_mp_citadelle_napoleon_morning|Цитадель Наполео (Утро)
str_mp_columbia_hill_farm|Ферма в Колумбии (День)
str_mp_columbia_farm_morning|Ферма в Колумбии (Утро)
str_mp_countryside|Сельская местность (День)
str_mp_countryside_fog|Сельская местность (Туман)
str_mp_dust|Dust (День)
str_mp_dust_morning|Dust (Утро)
str_mp_european_city_summer|Европейский город (Лето)
str_mp_european_city_winter|Европейский город (Зима)
str_mp_floodplain|Наводнение (День)
str_mp_floodplain_storm|Наводнение (Буря)
str_mp_forest_pallisade|Частокол в лес (День)
str_mp_forest_pallisade_fog|Частокол в лес (туман)
str_mp_fort_al_hafya|Форт Аль Хафь (День)
str_mp_fort_al_hafya_night|Форт Аль Хафь (Ночь)
str_mp_fort_bashir|Форт Баршир (День)
str_mp_fort_bashir_morning|Форт Баршир (Утро)
str_mp_fort_beaver|Форт Фаусбург (День)
str_mp_fort_beaver_morning|Форт Фаусбург (Утро)
str_mp_fort_boyd|Форт Бойд (День)
str_mp_fort_boyd_raining|Форт Бойд (Дождь)
str_mp_fort_brochet|Форт Брош (День)
str_mp_fort_brochet_raining|Форт Брош (Дождь)
str_mp_fort_de_chartres| Форт де Шартре (День)
str_mp_fort_de_chartres_raining| Форт де Шартре (Дождь)
str_mp_fort_fleetwood|Форт Флитвуд (Утро)
