itm_no_item|НЕДОПУСТИМЫЙ ПРЕДМЕТ
itm_no_item_pl|INVALID ITEM
itm_french_cav_pistol|Пистолет
itm_french_cav_pistol_pl|Пистолет
itm_french_officer_pistol|Пистолет
itm_french_officer_pistol_pl|Пистолет
itm_french_pistol_1766|Пистолет
itm_french_pistol_1766_pl|Пистолет
itm_french_pistol_1777|Пистолет
itm_french_pistol_1777_pl|Пистолет
itm_russian_pistol|Пистолет
itm_russian_pistol_pl|Пистолет
itm_british_pistol|Пистолет
itm_british_pistol_pl|Пистолет
itm_french_mousquiton|Кавалерийский карабин
itm_french_mousquiton_pl|Кавалерийский карабин
itm_french_mousquiton_melee|Кавалерийский карабин
itm_french_mousquiton_melee_pl|Кавалерийский карабин
itm_french_mousquiton_ai|Кавалерийский карабин
itm_french_mousquiton_ai_pl|Кавалерийский карабин
itm_french_mousquiton_light|Кавалерийский карабин
itm_french_mousquiton_light_pl|Кавалерийский карабин
itm_french_mousquiton_light_melee|Кавалерийский карабин
itm_french_mousquiton_light_melee_pl|Кавалерийский карабин
itm_french_mousquiton_light_ai|Кавалерийский карабин
itm_french_mousquiton_light_ai_pl|Кавалерийский карабин
itm_french_dragoon_musket|Кавалерийское ружьe
itm_french_dragoon_musket_pl|Кавалерийское ружьe
itm_french_dragoon_musket_melee|Кавалерийское ружьe
itm_french_dragoon_musket_melee_pl|Кавалерийское ружьe
itm_french_dragoon_musket_ai|Кавалерийское ружьe
itm_french_dragoon_musket_ai_pl|Кавалерийское ружьe
itm_russian_dragoon_musket|Кавалерийское ружьe
itm_russian_dragoon_musket_pl|Кавалерийское ружьe
itm_russian_dragoon_musket_melee|Кавалерийское ружьe
itm_russian_dragoon_musket_melee_pl|Кавалерийское ружьe
itm_russian_dragoon_musket_ai|Кавалерийское ружьe
itm_russian_dragoon_musket_ai_pl|Кавалерийское ружьe
itm_russian_cavalry_stutzer_1803|Кавалерийский штуцер
itm_russian_cavalry_stutzer_1803_pl|Кавалерийский штуцер
itm_russian_gusarskiy_karabin|Мушкетон
itm_russian_gusarskiy_karabin_pl|Мушкетон
itm_russian_gusarskiy_karabin_melee|Мушкетон
itm_russian_gusarskiy_karabin_melee_pl|Мушкетон
itm_russian_gusarskiy_karabin_ai|Мушкетон
itm_russian_gusarskiy_karabin_ai_pl|Мушкетон
itm_british_carbine|Кавалерийский карабин
itm_british_carbine_pl|Кавалерийский карабин
itm_british_carbine_melee|Кавалерийский карабин
itm_british_carbine_melee_pl|Кавалерийский карабин
itm_british_carbine_ai|Кавалерийский карабин
itm_british_carbine_ai_pl|Кавалерийский карабин
itm_russian_rifle_1805|Штуцер
itm_russian_rifle_1805_pl|Штуцер
itm_russian_rifle_1805_melee|Штуцер
itm_russian_rifle_1805_melee_pl|Штуцер
itm_british_baker_rifle|Винтовка
itm_british_baker_rifle_pl|Винтовка
itm_british_baker_rifle_melee|Винтовка
itm_british_baker_rifle_melee_pl|Винтовка
itm_sniper_rifle|Снайперская_винтовка
itm_sniper_rifle_pl|Снайперская_винтовка
itm_blunderbluss|Бландербас
itm_blunderbluss_pl|Бландербас
itm_french_charleville|Пехотное ружьe
itm_french_charleville_pl|Пехотное ружьe
itm_french_charleville_melee|Пехотное ружьe
itm_french_charleville_melee_pl|Пехотное ружьe
itm_french_versailles|Пехотное ружьe
itm_french_versailles_pl|Пехотное ружьe
itm_french_versailles_melee|IПехотное ружьe
itm_french_versailles_melee_pl|Пехотное ружьe
itm_british_brown_bess|Пехотное ружьe
itm_british_brown_bess_pl|Пехотное ружьe
itm_british_brown_bess_melee|Пехотное ружьe
itm_british_brown_bess_melee_pl|Пехотное ружьe
itm_russian_musket_1808|Пехотное ружьe
itm_russian_musket_1808_pl|Пехотное ружьe
itm_russian_musket_1808_melee|Пехотное ружьe
itm_russian_musket_1808_melee_pl|Пехотное ружьe
itm_austrian_musket|Пехотное ружьe
itm_austrian_musket_pl|Пехотное ружьe
itm_austrian_musket_melee|Пехотное ружьe
itm_austrian_musket_melee_pl|Пехотное ружьe
itm_prussian_potsdam|Пехотное ружьe
itm_prussian_potsdam_pl|Пехотное ружьe
itm_prussian_potsdam_melee|Пехотное ружьe
itm_prussian_potsdam_melee_pl|Пехотное ружьe
itm_prussian_musket_1806|Пехотное ружье
itm_prussian_musket_1806_pl|Пехотное ружье
itm_prussian_musket_1806_melee|Пехотное ружье
itm_prussian_musket_1806_melee_pl|Пехотное ружье
itm_french_art_off_sword|Офицерский артиллерийский палаш
itm_french_art_off_sword_pl|Офицерский артиллерийский палаш
itm_french_carabineer_sword|Карабинерский палаш
itm_french_carabineer_sword_pl|Карабинерский палаш
itm_french_briquet_garde|Гвардейская полусабля
itm_french_briquet_garde_pl|Гвардейская полусабля
itm_french_light_cav_sabre_garde|Гвардейская легкокавалерийская сабля
itm_french_light_cav_sabre_garde_pl|Гвардейская легкокавалерийская сабля
itm_french_heavy_cav_sabre_garde|Гвардейский кавалерийский палаш
itm_french_heavy_cav_sabre_garde_pl|Гвардейский кавалерийский палаш
itm_french_inf_off_sabre_garde|Сабля офицера Императорской Гвардии
itm_french_inf_off_sabre_garde_pl|Сабля офицера Императорской Гвардии
itm_french_heavy_cav_off_sabre|Офицерский кавалерийский палаш
itm_french_heavy_cav_off_sabre_pl|Офицерский кавалерийский палаш
itm_french_inf_off_sabre|Офицерская пехотная сабля
itm_french_inf_off_sabre_pl|Офицерская пехотная сабля
itm_french_light_cav_off_sabre|Сабля офицера легкой кавалерии
itm_french_light_cav_off_sabre_pl|Сабля офицера легкой кавалерии
itm_french_light_inf_off_sabre|Сабля офицера легкой пехоты
itm_french_light_inf_off_sabre_pl|Сабля офицера легкой пехоты
itm_french_line_cav_sabre|Кавалерийский палаш
itm_french_line_cav_sabre_pl|Кавалерийский палаш
itm_french_briquet|Полусабля
itm_french_briquet_pl|Полусабля
itm_french_light_cav_sabre|Легкокавалерийская сабля
itm_french_light_cav_sabre_pl|Легкокавалерийская сабля
itm_french_sappeur_sword|Саперный тесак
itm_french_sappeur_sword_pl|Саперный тесак
itm_russian_sabre_1798|Сабля
itm_russian_sabre_1798_pl|Сабля
itm_russian_sabre_1809|Сабля
itm_russian_sabre_1809_pl|Сабля
itm_russian_sword_1810|Палаш
itm_russian_sword_1810_pl|Палаш
itm_russian_guard_sword_1799|Гвардейский палаш
itm_russian_guard_sword_1799_pl|Гвардейский палаш
itm_russian_briquet_1807|Пехотный тесак
itm_russian_briquet_1807_pl|Пехотный тесак
itm_russian_jaeger_bayonet|Кортик
itm_russian_jaeger_bayonet_pl|Кортик
itm_russian_jaeger_bayonet_jaeger|Кортик
itm_russian_jaeger_bayonet_jaeger_pl|Кортик
itm_russian_officer_sword|Офицерская шпага
itm_russian_officer_sword_pl|Офицерская шпага
itm_russian_officer_sword_jaeger|Шпага офицера егерей
itm_russian_officer_sword_jaeger_pl|Шпага офицера егерей
itm_russian_peasant_axe|Топор
itm_russian_peasant_axe_pl|Топор
itm_brokenbottle|Разбитая бутылка водки
itm_brokenbottle_pl|Разбитая бутылка водки
itm_brokenbottle_melee|Разбитая бутылка водки
itm_brokenbottle_melee_pl|Разбитая бутылка водки
itm_russian_kindjal|Кинжал
itm_russian_kindjal_pl|Кинжал
itm_russian_guard_off_sword|Гвардейская офицерская шпага
itm_russian_guard_off_sword_pl|Гвардейская офицерская шпага
itm_russian_sappeur_dagger|Саперный тесак
itm_russian_sappeur_dagger_pl|Саперный тесак
itm_russian_sappeur_dagger_invis|Саперный тесак
itm_russian_sappeur_dagger_invis_pl|Саперный тесак
itm_russian_peasant_knife|Нож
itm_russian_peasant_knife_pl|Нож
itm_russian_peasant_serp|Серп
