ui_music_volume|Громкость музыки:
ui_sound_volume|Громкость звука:
ui_mouse_sensitivity|Чувствительность мыши:
ui_invert_mouse_y_axis|Инвертировать ось Y мыши
ui_enabled|Включено
ui_disabled|Отключено
ui_damage_to_player|Повреждения игроку:
ui_reduced_to_1_over_4_easiest|Уменьшены до 1/4 (Легчайший)
ui_reduced_to_1_over_2_easy|Уменьшены до 1/2 (Легкий)
ui_damage_to_friends|Повреждения союзникам:
ui_reduced_to_1_over_2_easiest|Уменьшены до 1/2 (Легчайший)
ui_reduced_to_3_over_4_easy|Уменьшены до 3/4 (Легкий)
ui_normal|Нормальный
ui_combat_ai|Боевой ИИ:
ui_combat_speed|Скорость боя:
ui_good|Хороший
ui_average_caps|Средний
ui_poor|Плохой
ui_faster|Быстрее
ui_slower|Медленнее
ui_control_block_direction|Выбор направления блокирования:
ui_automatic_recommended|Автоматический
ui_manual_easy|Ручной (Легко)
ui_manual_hard|Ручной (Тяжело)
ui_by_mouse_movement|Движением мыши
ui_control_attack_direction|Выбор направления атаки:
ui_lance_control|Управление пикой:
ui_by_relative_enemy_position|Относительной позицией неприятеля
ui_by_inverse_mouse_movement|Инверсионным движением мыши
ui_battle_size|Размер битвы:
ui_show_attack_direction|Показывать направление атаки
ui_show_targeting_reticule|Показывать прицел
ui_show_names_of_friendly_troops|Показывать баннеры над союзниками
ui_report_damage|Показывать нанесенный урон
ui_report_shot_difficulty|Показывать сложность выстрела 
ui_difficulty_rating_percentage|Рейтинг сложности = %d%%
ui_controls|Управление
ui_video_options|Опции Видео
ui_done|Готово
ui_factions|Воюющие стороны
ui_item_itemname|Айтем - %s
ui_prop_propname|Проп - %s
ui_unknown_unknownname|Неизвестно - %s
ui_entry_point_entrypointname|Точка входа %d
ui_passage_menu_item_passagename|Проход (пункт меню %d)
ui_plant_plantname|Растение - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|Экспортированный файл для персонажа %s уже существует. Записать поверх него?
ui_yes|Да
ui_no|Нет
ui_set_save_file_name|Введите название для этой сохраненной игры:
ui_enter_new_name|Начать новую игру:
ui_export_character|Экспортировать персонажа
ui_import_character|Импортировать персонажа
ui_character_playername_exported_successfully|Персонаж %s был успешно экспортирован.
ui_character_playername_imported_successfully|Персонаж %s был успешно импортирован.
ui_unable_to_open_import_file|Невозможно открыть импортированный файл.
ui_are_you_sure_you_want_to_import_the_character|Вы уверены что хотите импортировать персонажа?
ui_unable_to_find_character_import_file|Не получилось найти импортированный файл персонажа.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|Mount&Blade работает в режиме демо-версии. Пожалуйста, купите игру для того, чтобы импортировать персонажа.
ui_change_skin|Кожа
ui_change_hair|Прическа
ui_change_hair_color|Цвет волос
ui_change_beard|Борода
ui_tutorial|Обучение
ui_tutorial_face_generator| Настройте лицо Вашего первсонажа используя кнопки и слайдеры. Кликните по голове и сдвиньте мышь чтобы повернуть модель головы.
ui_restore|Загрузить
ui_cancel|Отмена
ui_delete|Удалить
ui_confirm_delete_game|Вы уверены в своем желании удалить эту игру?
ui_error_removing_file|Ошибка при удалении файла...
ui_day_datedisplay|День %d (%d:%d%d)
ui_reset_changes|Удалить изменения
ui_weapon_proficiencies|Умения
ui_skills|Навыки
ui_attributes|Черты
ui_enter_name_here|*Введите имя*
ui_edit_face|Нажмите для редактирования лица
ui_statistics|Статистика
ui_next|Дальше
ui_prev|Назад
ui_learn|Учиться
ui_question_saving_policy|Каким образом будем сохранять игру?
ui_saving_policy_realistic|Реалистичным!Никаких выходов из игры без сохранения!
ui_saving_policy_nonrealistic|Разрешить выход из игры без сохранения
ui_tutorial_character_generation|Теперь введите имя и распределите оружейные умения и очки навыков и черт.Вы можете нажимать на разные элементы на экране чтобы узнать как они повлияют на Вашего персонажа.
ui_str|СИЛ
ui_agi|ЛОВ
ui_int|ИНТ
ui_cha|ХАР
ui_at_learning_limit|(На лимите обучения)
ui_not_enough_skill_points_to_learn|(Недостаточно очков навыков чтобы изучить)
ui_strength|сила
ui_agility|ловкость
ui_intelligence|интеллект
ui_charisma|харизма
ui_not_enough_attributetype_to_learn_this_skill|(Недостаточно %s чтобы обучиться этому навыку)
ui_explanation_one_handed_weapon|Включает использование одноручных мечей, топоров и ударного оружия.
ui_explanation_two_handed_weapon|Включает использование двурручных мечей, больших топоров и булав.
ui_explanation_polearm|Включает использование древкового оружия вроде копей,ленсов, посохов и.т.д.
ui_explanation_archery|Включает использование луков.
ui_explanation_crossbow|Включает использование арбалетов.
ui_explanation_throwing|Включает использование метательного оружия вроде дротиков, ножей, камней и.т.д.
ui_explanation_firearms|Включает использование пистолетов и мушкетов.
ui_explanation_strength|Сила: Каждое очко добавляет +1 к хит поинтам. Следующие скиллы не могут быть развиты выше 1/3 силы: Железные мышци, Сила удара, Сила броска, Сила натяжения.
