fac_no_faction|Tarafsız
fac_commoners|Sıradan Halk
fac_outlaws|Çapulcular
fac_neutral|Tarafsız
fac_player_faction|Oyuncu Ülkesi
fac_player_supporters_faction|Oyuncunun Destekçileri
fac_britain|Birleşik Krallık
fac_france|Fransız İmparatorluğu
fac_prussia|Prusya Krallığı
fac_russia|Rus İmparatorluğu
fac_austria|Avusturya İmparatorluğu
fac_rhine|Ren
fac_kingdom_7|Geçersiz Ülke
fac_kingdom_8|Geçersiz Ülke
fac_kingdom_9|Geçersiz Ülke
fac_kingdom_10|Geçersiz Ülke
fac_british_ranks|Öteki İngiliz Kuvvetleri
fac_french_ranks|Öteki Fransız Kuvvetleri
fac_prussian_ranks|Öteki Prusya Kuvvetleri
fac_russian_ranks|Öteki Rus Kuvvetleri
fac_austrian_ranks|Öteki Avusturya Kuvvetleri
fac_rhine_ranks|Öteki Ren Kuvvetleri
