142
qstr_Careful... Careful...
qstr_{reg3} {reg3}
qstr_0 0
qstr__{s5}__{s6}_ ({s5},__{s6})
qstr___{reg43}__ (_{reg43}_)
qstr_Action Action
qstr_Mount Mount
qstr_Attack_Type Attack_Type
qstr_Stand_Ground Stand_Ground
qstr_Charge Charge
qstr_Follow_Me Follow_Me
qstr_Hold_This_Position Hold_This_Position
qstr_Spread_Out Spread_Out
qstr_Stand_Closer Stand_Closer
qstr_Fall_Back Fall_Back
qstr_Advance Advance
qstr_Dismount Dismount
qstr_Fire_At_Will Fire_At_Will
qstr_Hold_Your_Fire Hold_Your_Fire
qstr_Use_Blunt_Weapons Use_Blunt_Weapons
qstr_Use_Any_Weapon Use_Any_Weapon
qstr_Ready Ready
qstr_Wounded Wounded
qstr_Dead Dead
qstr_F4___Movement_Orders F4_-_Movement_Orders^F5_-_Formation_Orders^F6_-_Fire_Orders
qstr_F4___Hold_this_posit F4_-_Hold_this_position^F5_-_Follow_me^F6_-_Charge^F7_-_Advance^F8_-_Halt^F9_-_Fall_back^F10_-_Retreat^F11_-_Slow_march^F12_-_Quick_march
qstr_F4___Form_line^F5___ F4_-_Form_line^F5_-_Form_column^F6_-_Form_square^F7_-_Skirmish_formation^F8_-_Wheel_left^F9_-_Wheel_right^F10_-_Adjust_facing
qstr_F4___Hold_fire^F5___ F4_-_Hold_fire^F5_-_Fire_at_will^F6_-_Volley_fire^F7_-_Fire_at_position^F8_-_Pick_your_targets
qstr_0000 00,00
qstr_Vienna Vienna
qstr_Austerlitz Austerlitz
qstr_Drezden Drezden
qstr_Quit Quit
qstr_Go_to_the_Camp Go_to_the_Camp
qstr_Continue_Campaign Continue_Campaign
qstr_{reg21}{reg22} {reg21},{reg22}
qstr_Back Back
qstr_Visit_the_camp Visit_the_camp
qstr_Companions Companions
qstr_Merchants Merchants
qstr_Skip Skip
qstr_Available_companions Available_companions
qstr_Selected_companions Selected_companions
qstr_Start_Mission Start_Mission
qstr_Choose_a_companion Choose_a_companion
qstr_Battle_Results Battle_Results
qstr_Count Count
qstr_Money Money
qstr_Enemies_killed: Enemies_killed:
qstr_{reg1} {reg1}
qstr_Personal_kills: Personal_kills:
qstr_Allies_lost: Allies_lost:
qstr__{reg1} -{reg1}
qstr_Companions_lost: Companions_lost:
qstr_Totals: Totals:
qstr_Retry Retry
qstr_Done Done
qstr_turnchaton turnchaton
qstr_You_have_enabled_cha You_have_enabled_chat_usage_for_users.
qstr_turnchatoff turnchatoff
qstr_You_have_disabled_ch You_have_disabled_chat_usage_for_users.
qstr_killfeed killfeed
qstr_{s1} {s1}
qstr_This_command_doesnt_ This_command_doesnt_exist!
qstr_Try_/help Try_/help
qstr_$ $
qstr_Open_ze_Treasure Open_ze_Treasure
qstr_View_Caimpaign_Map View_Caimpaign_Map
qstr_Use Use
qstr_Use_Prop Use_Prop
qstr_Unknown_command_issu Unknown_command_issued!
qstr_{s7}_opened_the_gate {s7}_opened_the_gate
qstr_{s7}_closed_the_gate {s7}_closed_the_gate
qstr_Centre_Inf Centre_Inf
qstr_Lflank_Inf Lflank_Inf
qstr_Rflank_Inf Rflank_Inf
qstr_Centre_Cav Centre_Cav
qstr_Lflank_Cav Lflank_Cav
qstr_Rflank_Cav Rflank_Cav
qstr_Holding Holding
qstr_Following Following
qstr_Charging Charging
qstr_Advancing Advancing
qstr_Falling_Back Falling_Back
qstr_Standing_Closer Standing_Closer
qstr_Spreading_Out Spreading_Out
qstr_Standing Standing
qstr_N/A N/A
qstr_Free Free
qstr_Any_Weapon Any_Weapon
qstr_Blunt_Weapons Blunt_Weapons
qstr_{!}{reg10} {!}{reg10}
qstr_{!}{reg11} {!}{reg11}
qstr_{!}{reg12} {!}{reg12}
qstr_[SERVER]:_{s4} [SERVER]:_{s4}
qstr_vFloraWindStrength vFloraWindStrength
qstr_vWaterWindStrength vWaterWindStrength
qstr_THISISAPLACEHOLDERST THISISAPLACEHOLDERSTRING
qstr_{s32}_hold_this_posi {s32},_hold_this_position!
qstr_{s32}_follow_me! {s32},_follow_me!
qstr_{s32}_charge! {s32},_charge!
qstr_{s32}_advance! {s32},_advance!
qstr_{s32}_halt! {s32},_halt!
qstr_{s32}_fall_back! {s32},_fall_back!
qstr_{s32}_retreat! {s32},_retreat!
qstr_{s32}_slow_pace! {s32},_slow_pace!
qstr_{s32}_quick_pace! {s32},_quick_pace!
qstr_{s32}_form_line! {s32},_form_line!
qstr_{s32}_form_column! {s32},_form_column!
qstr_{s32}_form_square! {s32},_form_square!
qstr_{s32}_skirmish_order {s32},_skirmish_order!
qstr_{s32}_wheel_left! {s32},_wheel_left!
qstr_{s32}_wheel_right! {s32},_wheel_right!
qstr_{s32}_adjust_formati {s32},_adjust_formation!
qstr_Leave? Leave?
qstr_SERVER SERVER
qstr_Clear_the_bridge_of_ Clear_the_bridge_of_all_powder_crates_while_the_marshals_are_negotiating.^Take_care_not_to_be_discovered_by_the_guards.
qstr_The_bridge_has_been_ The_bridge_has_been_successfully_cleared,_well_done!^Now_hide_on_the_other_Austrian_side_of_the_river_and_wait_for_the_negotiations_to_conclude.
qstr_You_ve_been_discover You've_been_discovered!_Quickly_kill_the_guard_before_he_raises_the_alarm!
qstr_Lannes:__..._Yes_tha Lannes:_'..._Yes,_that_is_correct,_a_truce_was_already_signed._The_war_is_over.'
qstr_Austrian_Officer:__U Austrian_Officer:_'Uhh.._Ok..._Hey!_What_is_that?_The_powder_crates_on_the_bridge_are_gone!_We've_been_tricked!_Attack!'
qstr_French_Soldier:__Loo French_Soldier:_'Look,_a_fight!_We_must_help_our_comrades._Quickly,_cross_the_bridge!'
qstr_Artillery_Captain:__ Artillery_Captain:_'The_French_are_trying_to_cross_the_bridge._Man_the_guns!'
qstr_Prevent_the_Austrian Prevent_the_Austrian_artillery_from_firing_on_the_French_crossing_the_bridge.
qstr_The_Austrians_are_la The_Austrians_are_launching_a_counter-attack!
qstr_Fight_back_the_Austr Fight_back_the_Austrian_counter-attack!
qstr_The_brigde_is_now_un The_brigde_is_now_under_firm_French_control._Well_done!
qstr_Capture_the_village_ Capture_the_village_of_Sokolnitz_from_the_Russians!
qstr_You_have_captured_th You_have_captured_the_village,_excellent_work!
qstr_Capture_the_village_o Capture_the_village_of_Sokolnitz_from_the_Russian_Army
qstr_Hold_the_village_at_ Hold_the_village_at_all_costs_against_the_Russian_counter-attacks.
qstr_Go_to_meet_the_Emper Go_to_meet_the_Emperor
