stringsfile version 1
1312
str_no_string NO_STRING!
str_empty_string _
str_yes Yes.
str_no No.
str_blank_string _
str_error_string {!}ERROR!!!ERROR!!!!ERROR!!!ERROR!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!!
str_s0 {!}{s0}
str_blank_s1 {!}_{s1}
str_reg1 {!}{reg1}
str_s50_comma_s51 {!}{s50},_{s51}
str_s50_and_s51 {s50}_and_{s51}
str_s52_comma_s51 {!}{s52},_{s51}
str_s52_and_s51 {s52}_and_{s51}
str_msg_battle_won Battle_won!_Press_tab_key_to_leave...
str_charge Charge
str_color Color
str_hold_fire Hold_Fire
str_blunt_hold_fire Blunt_/_Hold_Fire
str_finished (Finished)
str_delivered_damage Delivered_{reg60}_damage.
str_archery_target_hit Distance:_{reg61}_meters._Score:_{reg60}
str_cant_use_inventory_now Can't_access_inventory_now.
str_give_up_fight Give_up_the_fight?
str_battle_won You_have_won_the_battle!
str_battle_lost You_have_lost_the_battle!
str_kingdom_1_adjective United_Kingdom
str_kingdom_2_adjective Empire_Francais
str_kingdom_3_adjective Koenigreich_Preussen
str_kingdom_4_adjective Rossiyskaya_Imperiya
str_kingdom_5_adjective Osterreich
str_kingdom_6_adjective Rhenish
str_credits_1 Mount&Blade_Warband:_Napoleonic_Wars_Copyright_2008-2012_Taleworlds_Entertainment
str_credits_2 Flying_Squirrel_Entertainment
str_credits_3 Game_design:^Maxim_'Vincenzo'_Munnig_Schmidt^Magnus_'Beaver'_Adolfsson^Nico_'Olafson'_Kamps^Vladimir_'Admiral'_Nazarenko
str_credits_4 Programming:^Maxim_Munnig_Schmidt^Magnus_Adolfsson
str_credits_5 Artists:^Nico_Kamps^Vladimir_Nazarenko
str_credits_6 Taleworlds_Entertainment
str_credits_7 Founder/CEO:^Armagan_Yavuz
str_credits_8 Lead_Programming:^Cem_Cimenbicer^Serdar_Kocdemir^^Programmers:^Ozan_Gumus^Mustafa_Onder^Abdullah_Gorkem_Gencay
str_credits_9 Lead_Artist:^Ozgur_Saral^^Artists:^Mustafa_Ozturk^Umit_Singil^Yigit_Savtur^Pinar_Cekic^Gokalp_Dogan^Oguz_Tunceli
str_credits_10 Concept_Art:^Ganbat_Badamkhand
str_credits_11 Director_Of_Communications:^Ali_Erkin
